character_name,book_id,uid,character_first_name,character_second_name,character_third_name,,,,,,,,
hugh boone,1661,,hugh,boone,,,,,,,,,
inspector bradstreet,1661,,inspector,bradstreet,,,,,,,,,
lee,1661,,lee,,,,,,,,,,
alicia whittington,1661,,alicia,whittington,,,,,,,,,
swandam lane,1661,,swandam,lane,,,,,,,,,
anstruther,1661,,anstruther,,,,,,,,,,
patience moran,1661,,patience,moran,,,,,,,,,
lysander stark,1661,,lysander,stark,,,,,,,,,
john horner,1661,,john,horner,,,,,,,,,
george sand,1661,,george,sand,,,,,,,,,
gustave flaubert,1661,,gustave,flaubert,,,,,,,,,
fairbank,1661,,fairbank,,,,,,,,,,
honoria westphail,1661,,honoria,westphail,,,,,,,,,
barton,1661,,barton,,,,,,,,,,
prince,1661,,prince,,,,,,,,,,
george burnwell,1661,,george,burnwell,,,,,,,,,
etherege,1661,,etherege,,,,,,,,,,
oakshott,1661,,oakshott,,,,,,,,,,
police constable cook,1661,,police,constable,cook,,,,,,,,
la scala,1661,,la,scala,,,,,,,,,
john cobb,1661,,john,cobb,,,,,,,,,
james calhoun,1661,,james,calhoun,,,,,,,,,
willows,1661,,willows,,,,,,,,,,
grimesby roylott,1661,,grimesby,roylott,,,,,,,,,
westaway,1661,,westaway,,,,,,,,,,
clark russell,1661,,clark,russell,,,,,,,,,
john swain,1661,,john,swain,,,,,,,,,
alice rucastle,1661,,alice,rucastle,,,,,,,,,
flora millar,1661,,flora,millar,,,,,,,,,
sarasate,1661,,sarasate,,,,,,,,,,
isa whitney,1661,,isa,whitney,,,,,,,,,
mark,1661,,mark,,,,,,,,,,
hatty doran,1661,,hatty,doran,,,,,,,,,
pritchard,1661,,pritchard,,,,,,,,,,
breckinridge,1661,,breckinridge,,,,,,,,,,
robert st  simon,1661,,robert,st,,simon,,,,,,,
james windibank,1661,,james,windibank,,,,,,,,,
backwater,1661,,backwater,,,,,,,,,,
ku klux klan,1661,,ku,klux,klan,,,,,,,,
john hare,1661,,john,hare,,,,,,,,,
ned,1661,,ned,,,,,,,,,,
neville st,1661,,neville,st,,,,,,,,,
violet hunter,1661,,violet,hunter,,,,,,,,,
quincey,1661,,quincey,,,,,,,,,,
henry baker,1661,,henry,baker,,,,,,,,,
becher,1661,,becher,,,,,,,,,,
francis prosper,1661,,francis,prosper,,,,,,,,,
julia,1661,,julia,,,,,,,,,,
kate whitney,1661,,kate,whitney,,,,,,,,,
helen stoner,1661,,helen,stoner,,,,,,,,,
eley,1661,,eley,,,,,,,,,,
charles mccarthy,1661,,charles,mccarthy,,,,,,,,,
spence munro,1661,,spence,munro,,,,,,,,,
kilburn,1661,,kilburn,,,,,,,,,,
percy armitage,1661,,percy,armitage,,,,,,,,,
aloysius doran,1661,,aloysius,doran,,,,,,,,,
frank,1661,,frank,,,,,,,,,,
prendergast,1661,,prendergast,,,,,,,,,,
armour,1661,,armour,,,,,,,,,,
spaulding,1661,,spaulding,,,,,,,,,,
farintosh,1661,,farintosh,,,,,,,,,,
albert dock,1661,,albert,dock,,,,,,,,,
carlo,1661,,carlo,,,,,,,,,,
balzac,1661,,balzac,,,,,,,,,,
mary sutherland,1661,,mary,sutherland,,,,,,,,,
john clay,1661,,john,clay,,,,,,,,,
eustace,1661,,eustace,,,,,,,,,,
dane,1661,,dane,,,,,,,,,,
fowler,1661,,fowler,,,,,,,,,,
elias whitney,1661,,elias,whitney,,,,,,,,,
robert walsingham vere st  simon,1661,,robert,walsingham,vere,st,,simon,,,,,
jephro,1661,,jephro,,,,,,,,,,
clara st  simon,1661,,clara,st,,simon,,,,,,,
john robinson,1661,,john,robinson,,,,,,,,,
jabez wilson,1661,,jabez,wilson,,,,,,,,,
irene norton,1661,,irene,norton,,,,,,,,,
fordham,1661,,fordham,,,,,,,,,,
clotilde lothman von saxe meningen,1661,,clotilde,lothman,von,saxe,meningen,,,,,,
alexander holder,1661,,alexander,holder,,,,,,,,,
hankey,1661,,hankey,,,,,,,,,,
ferguson,1661,,ferguson,,,,,,,,,,
winchester,1661,,winchester,,,,,,,,,,
dundas,1661,,dundas,,,,,,,,,,
stoke moran,1661,,stoke,moran,,,,,,,,,
christ,1661,,christ,,,,,,,,,,
mcquire,1661,,mcquire,,,,,,,,,,
james ryder,1661,,james,ryder,,,,,,,,,
wilhelm gottsreich sigismond von ormstein,1661,,wilhelm,gottsreich,sigismond,von,ormstein,,,,,,
st  clair,1661,,st,,clair,,,,,,,,
lestrade,1661,,lestrade,,,,,,,,,,
jeremiah hayling,1661,,jeremiah,hayling,,,,,,,,,
elise,1661,,elise,,,,,,,,,,
archie,1661,,archie,,,,,,,,,,
catherine cusack,1661,,catherine,cusack,,,,,,,,,
vincent spaulding,1661,,vincent,spaulding,,,,,,,,,
hosmer angel,1661,,hosmer,angel,,,,,,,,,
thoreau,1661,,thoreau,,,,,,,,,,
maudsley,1661,,maudsley,,,,,,,,,,
harley street,1661,,harley,street,,,,,,,,,
hafiz,1661,,hafiz,,,,,,,,,,
ezekiah hopkins,1661,,ezekiah,hopkins,,,,,,,,,
duncan ross,1661,,duncan,ross,,,,,,,,,
black jack of ballarat,1661,,black,jack,of,ballarat,,,,,,,
beryl coronet,1661,,beryl,coronet,,,,,,,,,
victor hatherley,1661,,victor,hatherley,,,,,,,,,
james mccarthy,1661,,james,mccarthy,,,,,,,,,
stoper,1661,,stoper,,,,,,,,,,
windigate,1661,,windigate,,,,,,,,,,
william crowder,1661,,william,crowder,,,,,,,,,
southerton,1661,,southerton,,,,,,,,,,
william morris,1661,,william,morris,,,,,,,,,
hardy,1661,,hardy,,,,,,,,,,
ku klux,1661,,ku,klux,,,,,,,,,
francis hay moulton,1661,,francis,hay,moulton,,,,,,,,
st  simon,1661,,st,,simon,,,,,,,,
mortimer,1661,,mortimer,,,,,,,,,,
maggie,1661,,maggie,,,,,,,,,,
jem,1661,,jem,,,,,,,,,,
godfrey norton,1661,,godfrey,norton,,,,,,,,,
mary holder,1661,,mary,holder,,,,,,,,,
rucastles,1661,,rucastles,,,,,,,,,,
mcfarlane,1661,,mcfarlane,,,,,,,,,,
lucy parr,1661,,lucy,parr,,,,,,,,,
peter jones,1661,,peter,jones,,,,,,,,,
k  k  k,1661,,k,,k,,k,,,,,,
sophy anderson,1661,,sophy,anderson,,,,,,,,,
peterson,1661,,peterson,,,,,,,,,,
john openshaw,1661,,john,openshaw,,,,,,,,,
merryweather,1661,,merryweather,,,,,,,,,,
mccauley,1661,,mccauley,,,,,,,,,,
tudor,1661,,tudor,,,,,,,,,,
u  s  a,1661,,u,,s,,a,,,,,,
von kramm,1661,,von,kramm,,,,,,,,,
francis h  moulton,1661,,francis,h,,moulton,,,,,,,
freebody,1661,,freebody,,,,,,,,,,
eglow,1661,,eglow,,,,,,,,,,
neville st  clair,1661,,neville,st,,clair,,,,,,,
mary jane,1661,,mary,jane,,,,,,,,,
toller,1661,,toller,,,,,,,,,,
warburton,1661,,warburton,,,,,,,,,,
grand of cassel felstein,1661,,grand,of,cassel,felstein,,,,,,,
nathaniel cole,2073,,nathaniel,cole,,,,,,,,,
kipling,2073,,kipling,,,,,,,,,,
robert des armoises,2073,,robert,des,armoises,,,,,,,,
of the of burgundy,2073,,of,the,of,burgundy,,,,,,,
robert des hermoises,2073,,robert,des,hermoises,,,,,,,,
hans,2073,,hans,,,,,,,,,,
sala,2073,,sala,,,,,,,,,,
bishop quadra,2073,,bishop,quadra,,,,,,,,,
ailesbury,2073,,ailesbury,,,,,,,,,,
carlyle,2073,,carlyle,,,,,,,,,,
j  b  keene,2073,,j,,b,,keene,,,,,,
st  thomas,2073,,st,,thomas,,,,,,,,
pollock,2073,,pollock,,,,,,,,,,
thomas vautrollier,2073,,thomas,vautrollier,,,,,,,,,
bishop percy,2073,,bishop,percy,,,,,,,,,
chettle,2073,,chettle,,,,,,,,,,
mary of guise,2073,,mary,of,guise,,,,,,,,
roano,2073,,roano,,,,,,,,,,
nee jeanne d arc,2073,,nee,jeanne,d,arc,,,,,,,
mary seatoun,2073,,mary,seatoun,,,,,,,,,
baroni di s  marzo,2073,,baroni,di,s,,marzo,,,,,,
jeanne des ermaises,2073,,jeanne,des,ermaises,,,,,,,,
don jacopo stuarto,2073,,don,jacopo,stuarto,,,,,,,,
throgmorton,2073,,throgmorton,,,,,,,,,,
charles wogan,2073,,charles,wogan,,,,,,,,,
william henry smith,2073,,william,henry,smith,,,,,,,,
shakspere,2073,,shakspere,,,,,,,,,,
john churton collins,2073,,john,churton,collins,,,,,,,,
alexander herbert phaire,2073,,alexander,herbert,phaire,,,,,,,,
charybdis,2073,,charybdis,,,,,,,,,,
lyonne,2073,,lyonne,,,,,,,,,,
louis xv,2073,,louis,xv,,,,,,,,,
aramis,2073,,aramis,,,,,,,,,,
lyttelton was junius,2073,,lyttelton,was,junius,,,,,,,,
bekie,2073,,bekie,,,,,,,,,,
tyrrell,2073,,tyrrell,,,,,,,,,,
mary mild,2073,,mary,mild,,,,,,,,,
burbage,2073,,burbage,,,,,,,,,,
pompadour,2073,,pompadour,,,,,,,,,,
homer,2073,,homer,,,,,,,,,,
appleyard,2073,,appleyard,,,,,,,,,,
patrick spens,2073,,patrick,spens,,,,,,,,,
william maitland,2073,,william,maitland,,,,,,,,,
bedmin,2073,,bedmin,,,,,,,,,,
gude wallace,2073,,gude,wallace,,,,,,,,,
huntley,2073,,huntley,,,,,,,,,,
dudley master,2073,,dudley,master,,,,,,,,,
suttar,2073,,suttar,,,,,,,,,,
maisry,2073,,maisry,,,,,,,,,,
h  s,2073,,h,,s,,,,,,,,
pepys,2073,,pepys,,,,,,,,,,
welden,2073,,welden,,,,,,,,,,
george cruikshank,2073,,george,cruikshank,,,,,,,,,
st  michael,2073,,st,,michael,,,,,,,,
dom calmet,2073,,dom,calmet,,,,,,,,,
s  andrea,2073,,s,,andrea,,,,,,,,
heliodorus,2073,,heliodorus,,,,,,,,,,
follett,2073,,follett,,,,,,,,,,
ogilvy,2073,,ogilvy,,,,,,,,,,
donna maria stewart,2073,,donna,maria,stewart,,,,,,,,
r  brown,2073,,r,,brown,,,,,,,,
tonge,2073,,tonge,,,,,,,,,,
paradis,2073,,paradis,,,,,,,,,,
martin hume,2073,,martin,hume,,,,,,,,,
abbott,2073,,abbott,,,,,,,,,,
mustapha syried,2073,,mustapha,syried,,,,,,,,,
joseph williamson,2073,,joseph,williamson,,,,,,,,,
cecil,2073,,cecil,,,,,,,,,,
du moulin,2073,,du,moulin,,,,,,,,,
randolph,2073,,randolph,,,,,,,,,,
william edden,2073,,william,edden,,,,,,,,,
mary hamilton,2073,,mary,hamilton,,,,,,,,,
jane gordon,2073,,jane,gordon,,,,,,,,,
peter turnip,2073,,peter,turnip,,,,,,,,,
currt,2073,,currt,,,,,,,,,,
charteris,2073,,charteris,,,,,,,,,,
catholics,2073,,catholics,,,,,,,,,,
chief justice forbes,2073,,chief,justice,forbes,,,,,,,,
a  w  crawley boevey,2073,,a,,w,,crawley,boevey,,,,,
ascough,2073,,ascough,,,,,,,,,,
crummles,2073,,crummles,,,,,,,,,,
claudius holyband,2073,,claudius,holyband,,,,,,,,,
mary myle,2073,,mary,myle,,,,,,,,,
simancas,2073,,simancas,,,,,,,,,,
spedding,2073,,spedding,,,,,,,,,,
francois eliard,2073,,francois,eliard,,,,,,,,,
delany,2073,,delany,,,,,,,,,,
pere vignier,2073,,pere,vignier,,,,,,,,,
dumas,2073,,dumas,,,,,,,,,,
signor corona,2073,,signor,corona,,,,,,,,,
mother teresa,2073,,mother,teresa,,,,,,,,,
wynell,2073,,wynell,,,,,,,,,,
amy robsart,2073,,amy,robsart,,,,,,,,,
mussulman,2073,,mussulman,,,,,,,,,,
teresa corona,2073,,teresa,corona,,,,,,,,,
socrates,2073,,socrates,,,,,,,,,,
jeanne sermaises,2073,,jeanne,sermaises,,,,,,,,,
giacopo stuardo,2073,,giacopo,stuardo,,,,,,,,,
oliva,2073,,oliva,,,,,,,,,,
m  des armoises,2073,,m,,des,armoises,,,,,,,
m  janet,2073,,m,,janet,,,,,,,,
walter hamilton,2073,,walter,hamilton,,,,,,,,,
ignatius donnelly,2073,,ignatius,donnelly,,,,,,,,,
bedloe,2073,,bedloe,,,,,,,,,,
nicholas bacon,2073,,nicholas,bacon,,,,,,,,,
mary moil,2073,,mary,moil,,,,,,,,,
george prescott,2073,,george,prescott,,,,,,,,,
pierre maret,2073,,pierre,maret,,,,,,,,,
brittain,2073,,brittain,,,,,,,,,,
elizabeth gorlitz,2073,,elizabeth,gorlitz,,,,,,,,,
e  m  thompson,2073,,e,,m,,thompson,,,,,,
monsr balthazar,2073,,monsr,balthazar,,,,,,,,,
monsr daillie,2073,,monsr,daillie,,,,,,,,,
mary seaton,2073,,mary,seaton,,,,,,,,,
browne,2073,,browne,,,,,,,,,,
pinto,2073,,pinto,,,,,,,,,,
hoskins,2073,,hoskins,,,,,,,,,,
william shakespeare,2073,,william,shakespeare,,,,,,,,,
herodotus,2073,,herodotus,,,,,,,,,,
oddingsell,2073,,oddingsell,,,,,,,,,,
bonnie earl,2073,,bonnie,earl,,,,,,,,,
wroth,2073,,wroth,,,,,,,,,,
joseph ritson,2073,,joseph,ritson,,,,,,,,,
boisy,2073,,boisy,,,,,,,,,,
samuel atkins,2073,,samuel,atkins,,,,,,,,,
edmund berry godfrey,2073,,edmund,berry,godfrey,,,,,,,,
of monmouth,2073,,of,monmouth,,,,,,,,,
delia bacon,2073,,delia,bacon,,,,,,,,,
prince james,2073,,prince,james,,,,,,,,,
frederick fisher,2073,,frederick,fisher,,,,,,,,,
savoy,2073,,savoy,,,,,,,,,,
eustache dauger,2073,,eustache,dauger,,,,,,,,,
lee phaire,2073,,lee,phaire,,,,,,,,,
duc beaufort,2073,,duc,beaufort,,,,,,,,,
amphlett,2073,,amphlett,,,,,,,,,,
amy robert dudley,2073,,amy,robert,dudley,,,,,,,,
julia annesley,2073,,julia,annesley,,,,,,,,,
douglas,2073,,douglas,,,,,,,,,,
miles peter andrews,2073,,miles,peter,andrews,,,,,,,,
myers,2073,,myers,,,,,,,,,,
danby,2073,,danby,,,,,,,,,,
shenstone,2073,,shenstone,,,,,,,,,,
townley,2073,,townley,,,,,,,,,,
bucke,2073,,bucke,,,,,,,,,,
philip,2073,,philip,,,,,,,,,,
rossetti,2073,,rossetti,,,,,,,,,,
leith,2073,,leith,,,,,,,,,,
lennox,2073,,lennox,,,,,,,,,,
charles wolseley,2073,,charles,wolseley,,,,,,,,,
mary carmichael,2073,,mary,carmichael,,,,,,,,,
bonny earl murray,2073,,bonny,earl,murray,,,,,,,,
h  h  furness,2073,,h,,h,,furness,,,,,,
henri rohan,2073,,henri,rohan,,,,,,,,,
froude,2073,,froude,,,,,,,,,,
rosalind northcote,2073,,rosalind,northcote,,,,,,,,,
heiss,2073,,heiss,,,,,,,,,,
thrale,2073,,thrale,,,,,,,,,,
lewis solomon,2073,,lewis,solomon,,,,,,,,,
lyly,2073,,lyly,,,,,,,,,,
saies hee,2073,,saies,hee,,,,,,,,,
nathaniel boom,2073,,nathaniel,boom,,,,,,,,,
peach,2073,,peach,,,,,,,,,,
billy blin,2073,,billy,blin,,,,,,,,,
kemp,2073,,kemp,,,,,,,,,,
m  jung,2073,,m,,jung,,,,,,,,
acton,2073,,acton,,,,,,,,,,
kent,2073,,kent,,,,,,,,,,
stuckey,2073,,stuckey,,,,,,,,,,
signor francesco corona,2073,,signor,francesco,corona,,,,,,,,
father boero,2073,,father,boero,,,,,,,,,
johnston,2073,,johnston,,,,,,,,,,
cressida,2073,,cressida,,,,,,,,,,
pembroke,2073,,pembroke,,,,,,,,,,
samuel hopkins,2073,,samuel,hopkins,,,,,,,,,
m  lauzun,2073,,m,,lauzun,,,,,,,,
blanchard jerrold,2073,,blanchard,jerrold,,,,,,,,,
stafford,2073,,stafford,,,,,,,,,,
daughter of the of york,2073,,daughter,of,the,of,york,,,,,,
alexander macwhorter,2073,,alexander,macwhorter,,,,,,,,,
julia cartwright,2073,,julia,cartwright,,,,,,,,,
mary beaton,2073,,mary,beaton,,,,,,,,,
richard verney,2073,,richard,verney,,,,,,,,,
titmarsh,2073,,titmarsh,,,,,,,,,,
ingenioso,2073,,ingenioso,,,,,,,,,,
m  lair,2073,,m,,lair,,,,,,,,
beichan,2073,,beichan,,,,,,,,,,
bayly,2073,,bayly,,,,,,,,,,
knox,2073,,knox,,,,,,,,,,
louvois,2073,,louvois,,,,,,,,,,
wraxall,2073,,wraxall,,,,,,,,,,
gilbert becket,2073,,gilbert,becket,,,,,,,,,
f  m  flood,2073,,f,,m,,flood,,,,,,
nugent,2073,,nugent,,,,,,,,,,
henry darnley,2073,,henry,darnley,,,,,,,,,
henry v,2073,,henry,v,,,,,,,,,
jeanne d arc,2073,,jeanne,d,arc,,,,,,,,
joseph tyler,2073,,joseph,tyler,,,,,,,,,
gex,2073,,gex,,,,,,,,,,
casal,2073,,casal,,,,,,,,,,
johannes factotum,2073,,johannes,factotum,,,,,,,,,
james v,2073,,james,v,,,,,,,,,
herschel,2073,,herschel,,,,,,,,,,
l estrange,2073,,l,estrange,,,,,,,,,
mary stewart,2073,,mary,stewart,,,,,,,,,
colbert,2073,,colbert,,,,,,,,,,
roux fazaillac,2073,,roux,fazaillac,,,,,,,,,
d  cooper,2073,,d,,cooper,,,,,,,,
brady,2073,,brady,,,,,,,,,,
fison,2073,,fison,,,,,,,,,,
kelder,2073,,kelder,,,,,,,,,,
noble seigneurs,2073,,noble,seigneurs,,,,,,,,,
helena,2073,,helena,,,,,,,,,,
faulkner,2073,,faulkner,,,,,,,,,,
launcelot gobbo,2073,,launcelot,gobbo,,,,,,,,,
bothe,2073,,bothe,,,,,,,,,,
davies,2073,,davies,,,,,,,,,,
forster,2073,,forster,,,,,,,,,,
child,2073,,child,,,,,,,,,,
bruce,2073,,bruce,,,,,,,,,,
m  topin,2073,,m,,topin,,,,,,,,
folio,2073,,folio,,,,,,,,,,
fortescue,2073,,fortescue,,,,,,,,,,
charles kirkpatrick sharpe,2073,,charles,kirkpatrick,sharpe,,,,,,,,
pierre du lys,2073,,pierre,du,lys,,,,,,,,
warrenston warriston,2073,,warrenston,warriston,,,,,,,,,
m  fouquet,2073,,m,,fouquet,,,,,,,,
bellasis,2073,,bellasis,,,,,,,,,,
westcote,2073,,westcote,,,,,,,,,,
mason,2073,,mason,,,,,,,,,,
dunlop,2073,,dunlop,,,,,,,,,,
roland,2073,,roland,,,,,,,,,,
barbezieux,2073,,barbezieux,,,,,,,,,,
phillipps,2073,,phillipps,,,,,,,,,,
wyatt edgell,2073,,wyatt,edgell,,,,,,,,,
fothergill,2073,,fothergill,,,,,,,,,,
lawrence,2073,,lawrence,,,,,,,,,,
hambledon,2073,,hambledon,,,,,,,,,,
jaquet leprestre,2073,,jaquet,leprestre,,,,,,,,,
francis vernon,2073,,francis,vernon,,,,,,,,,
dux roani,2073,,dux,roani,,,,,,,,,
signora d  maria stuardo,2073,,signora,d,,maria,stuardo,,,,,,
hayes,2073,,hayes,,,,,,,,,,
friar laurence,2073,,friar,laurence,,,,,,,,,
piozzi,2073,,piozzi,,,,,,,,,,
hooker,2073,,hooker,,,,,,,,,,
dickensite,2073,,dickensite,,,,,,,,,,
la pucelle france,2073,,la,pucelle,france,,,,,,,,
mary beatoun,2073,,mary,beatoun,,,,,,,,,
m  lecoy la march,2073,,m,,lecoy,la,march,,,,,,
maries,2073,,maries,,,,,,,,,,
m  loiseleur,2073,,m,,loiseleur,,,,,,,,
adams,2073,,adams,,,,,,,,,,
jeanne des armoises,2073,,jeanne,des,armoises,,,,,,,,
henrietta,2073,,henrietta,,,,,,,,,,
peden,2073,,peden,,,,,,,,,,
pere ayroles,2073,,pere,ayroles,,,,,,,,,
marian,2073,,marian,,,,,,,,,,
baron vaughan,2073,,baron,vaughan,,,,,,,,,
leyden,2073,,leyden,,,,,,,,,,
buchan,2073,,buchan,,,,,,,,,,
romeo,2073,,romeo,,,,,,,,,,
valentine greatrakes,2073,,valentine,greatrakes,,,,,,,,,
james hamilton,2073,,james,hamilton,,,,,,,,,
di paolo,2073,,di,paolo,,,,,,,,,
m  funck brentano,2073,,m,,funck,brentano,,,,,,,
james stuart,2073,,james,stuart,,,,,,,,,
bateman,2073,,bateman,,,,,,,,,,
nathaniel holmes,2073,,nathaniel,holmes,,,,,,,,,
dante,2073,,dante,,,,,,,,,,
william nicholson,2073,,william,nicholson,,,,,,,,,
francis meres,2073,,francis,meres,,,,,,,,,
archbishop beaton,2073,,archbishop,beaton,,,,,,,,,
mattioli,2073,,mattioli,,,,,,,,,,
jehanne la pucelle,2073,,jehanne,la,pucelle,,,,,,,,
robert dudley,2073,,robert,dudley,,,,,,,,,
goethe,2073,,goethe,,,,,,,,,,
leonore,2073,,leonore,,,,,,,,,,
marke,2073,,marke,,,,,,,,,,
john anderson,2073,,john,anderson,,,,,,,,,
chetwyn,2073,,chetwyn,,,,,,,,,,
frederick flood,2073,,frederick,flood,,,,,,,,,
maidment,2073,,maidment,,,,,,,,,,
le roux marsilly,2073,,le,roux,marsilly,,,,,,,,
malone,2073,,malone,,,,,,,,,,
pucelle jeanne,2073,,pucelle,jeanne,,,,,,,,,
oliver cromwell,2073,,oliver,cromwell,,,,,,,,,
wyman,2073,,wyman,,,,,,,,,,
brierre du boismont,2073,,brierre,du,boismont,,,,,,,,
thomas blount,2073,,thomas,blount,,,,,,,,,
kitton,2073,,kitton,,,,,,,,,,
leonie,2073,,leonie,,,,,,,,,,
rusden,2073,,rusden,,,,,,,,,,
egerton,2073,,egerton,,,,,,,,,,
hibbert,2073,,hibbert,,,,,,,,,,
patrick abercromby,2073,,patrick,abercromby,,,,,,,,,
grande,2073,,grande,,,,,,,,,,
gullio,2073,,gullio,,,,,,,,,,
jehanne,2073,,jehanne,,,,,,,,,,
t  j,2073,,t,,j,,,,,,,,
pascal,2073,,pascal,,,,,,,,,,
sandys,2073,,sandys,,,,,,,,,,
coulton,2073,,coulton,,,,,,,,,,
osborne,2073,,osborne,,,,,,,,,,
m  richet,2073,,m,,richet,,,,,,,,
robert henderson,2073,,robert,henderson,,,,,,,,,
atkinson,2073,,atkinson,,,,,,,,,,
richard ii,2073,,richard,ii,,,,,,,,,
gurney,2073,,gurney,,,,,,,,,,
la cloche,2073,,la,cloche,,,,,,,,,
roux marsilly,2073,,roux,marsilly,,,,,,,,,
christina,2073,,christina,,,,,,,,,,
langhorne,2073,,langhorne,,,,,,,,,,
sophia,2073,,sophia,,,,,,,,,,
marchiel,2073,,marchiel,,,,,,,,,,
sanbidge,2073,,sanbidge,,,,,,,,,,
mary stuart,2073,,mary,stuart,,,,,,,,,
farley,2073,,farley,,,,,,,,,,
mary miles,2073,,mary,miles,,,,,,,,,
jehan guillaume,2073,,jehan,guillaume,,,,,,,,,
pott,2073,,pott,,,,,,,,,,
lionne,2073,,lionne,,,,,,,,,,
ruvigny,2073,,ruvigny,,,,,,,,,,
hay fleming,2073,,hay,fleming,,,,,,,,,
charles dickens,2073,,charles,dickens,,,,,,,,,
beresford,2073,,beresford,,,,,,,,,,
kohler,2073,,kohler,,,,,,,,,,
sidney lee,2073,,sidney,lee,,,,,,,,,
george worrall,2073,,george,worrall,,,,,,,,,
m  vauroy,2073,,m,,vauroy,,,,,,,,
james vi,2073,,james,vi,,,,,,,,,
johnnie cock,2073,,johnnie,cock,,,,,,,,,
huggon,2073,,huggon,,,,,,,,,,
shakescene,2073,,shakescene,,,,,,,,,,
gilbert becket bekie,2073,,gilbert,becket,bekie,,,,,,,,
austin west,2073,,austin,west,,,,,,,,,
nicholas nickleby,2073,,nicholas,nickleby,,,,,,,,,
robert burke,2073,,robert,burke,,,,,,,,,
feria,2073,,feria,,,,,,,,,,
henry vi,2073,,henry,vi,,,,,,,,,
saint thibaud metz,2073,,saint,thibaud,metz,,,,,,,,
brandes,2073,,brandes,,,,,,,,,,
jeanne la pucelle,2073,,jeanne,la,pucelle,,,,,,,,
j  d  king,2073,,j,,d,,king,,,,,,
catherine,2073,,catherine,,,,,,,,,,
m  lelut,2073,,m,,lelut,,,,,,,,
montgomery martin,2073,,montgomery,martin,,,,,,,,,
charles tilt,2073,,charles,tilt,,,,,,,,,
mareschall schomberg,2073,,mareschall,schomberg,,,,,,,,,
steuart,2073,,steuart,,,,,,,,,,
torphichen,2073,,torphichen,,,,,,,,,,
dona maria stuarta,2073,,dona,maria,stuarta,,,,,,,,
rene,2073,,rene,,,,,,,,,,
chester,2073,,chester,,,,,,,,,,
la riviere,2073,,la,riviere,,,,,,,,,
james la cloche,2073,,james,la,cloche,,,,,,,,
george james iii,2073,,george,james,iii,,,,,,,,
coddington fisher,2073,,coddington,fisher,,,,,,,,,
balthazar,2073,,balthazar,,,,,,,,,,
swinburne,2073,,swinburne,,,,,,,,,,
dowden,2073,,dowden,,,,,,,,,,
saxo grammaticus,2073,,saxo,grammaticus,,,,,,,,,
charles wolsley,2073,,charles,wolsley,,,,,,,,,
ludi,2073,,ludi,,,,,,,,,,
galton,2073,,galton,,,,,,,,,,
sewell,2073,,sewell,,,,,,,,,,
james maitland,2073,,james,maitland,,,,,,,,,
titus oates,2073,,titus,oates,,,,,,,,,
hawthorne,2073,,hawthorne,,,,,,,,,,
america lyttelton,2073,,america,lyttelton,,,,,,,,,
le fevre,2073,,le,fevre,,,,,,,,,
mary fleming,2073,,mary,fleming,,,,,,,,,
robertson,2073,,robertson,,,,,,,,,,
montague,2073,,montague,,,,,,,,,,
armanni,2073,,armanni,,,,,,,,,,
james coddington,2073,,james,coddington,,,,,,,,,
chezut,2073,,chezut,,,,,,,,,,
duc d orleans,2073,,duc,d,orleans,,,,,,,,
louis xvi,2073,,louis,xvi,,,,,,,,,
ambr,2073,,ambr,,,,,,,,,,
nicholas wardlaw,2073,,nicholas,wardlaw,,,,,,,,,
fanshaw,2073,,fanshaw,,,,,,,,,,
i  coleman,2073,,i,,coleman,,,,,,,,
mary livingstone,2073,,mary,livingstone,,,,,,,,,
platt,2073,,platt,,,,,,,,,,
ludovick stewart,2073,,ludovick,stewart,,,,,,,,,
leontine,2073,,leontine,,,,,,,,,,
johnnie armstrong,2073,,johnnie,armstrong,,,,,,,,,
joly,2073,,joly,,,,,,,,,,
marie antoinette,2073,,marie,antoinette,,,,,,,,,
eyre,2073,,eyre,,,,,,,,,,
heming,2073,,heming,,,,,,,,,,
du junca,2073,,du,junca,,,,,,,,,
lestang,2073,,lestang,,,,,,,,,,
paddington woods,2073,,paddington,woods,,,,,,,,,
pliny,2073,,pliny,,,,,,,,,,
courthope,2073,,courthope,,,,,,,,,,
poast,2073,,poast,,,,,,,,,,
m  simeon luce,2073,,m,,simeon,luce,,,,,,,
m  save,2073,,m,,save,,,,,,,,
violet simpson,2073,,violet,simpson,,,,,,,,,
munday,2073,,munday,,,,,,,,,,
gallup,2073,,gallup,,,,,,,,,,
jemmy dawson,2073,,jemmy,dawson,,,,,,,,,
perwich,2073,,perwich,,,,,,,,,,
gonzales,2073,,gonzales,,,,,,,,,,
franche comte,2073,,franche,comte,,,,,,,,,
dugdale,2073,,dugdale,,,,,,,,,,
kurnai,2073,,kurnai,,,,,,,,,,
maille,2073,,maille,,,,,,,,,,
navet,2073,,navet,,,,,,,,,,
burnett,2073,,burnett,,,,,,,,,,
jeanne pucelle,2073,,jeanne,pucelle,,,,,,,,,
phil holland,2073,,phil,holland,,,,,,,,,
webb,2073,,webb,,,,,,,,,,
moliere,2073,,moliere,,,,,,,,,,
marlowe,2073,,marlowe,,,,,,,,,,
penguin,2325,,penguin,,,,,,,,,,
black man,2325,,black,man,,,,,,,,,
commodore drake,2325,,commodore,drake,,,,,,,,,
merman king,2325,,merman,king,,,,,,,,,
giant,2325,,giant,,,,,,,,,,
