character_name,book_id,uid,character_first_name,character_second_name,character_third_name,,,,,,,,
sheik kabour ben saden,81,,sheik,kabour,ben,saden,,,,,,,
adrea tarzan,81,,adrea,tarzan,,,,,,,,,
esmeralda,81,,esmeralda,,,,,,,,,,
countess coude,81,,countess,coude,,,,,,,,,
tantor,81,,tantor,,,,,,,,,,
jean c  tarzan,81,,jean,c,,tarzan,,,,,,,
wilson,81,,wilson,,,,,,,,,,
busuli,81,,busuli,,,,,,,,,,
tenny,81,,tenny,,,,,,,,,,
jean tarzan,81,,jean,tarzan,,,,,,,,,
faugh,81,,faugh,,,,,,,,,,
kala,81,,kala,,,,,,,,,,
histah,81,,histah,,,,,,,,,,
francois,81,,francois,,,,,,,,,,
horta,81,,horta,,,,,,,,,,
sheik kadour ben saden,81,,sheik,kadour,ben,saden,,,,,,,
jove,81,,jove,,,,,,,,,,
snipes,81,,snipes,,,,,,,,,,
tublat,81,,tublat,,,,,,,,,,
rue maule,81,,rue,maule,,,,,,,,,
manyuema,81,,manyuema,,,,,,,,,,
abdul,81,,abdul,,,,,,,,,,
kincaid,85,,kincaid,,,,,,,,,,
jack,85,,jack,,,,,,,,,,
nikolas rokoff,85,,nikolas,rokoff,,,,,,,,,
paul d arnot,85,,paul,d,arnot,,,,,,,,
jane clayton,85,,jane,clayton,,,,,,,,,
sven anderssen,85,,sven,anderssen,,,,,,,,,
tarzan,85,,tarzan,,,,,,,,,,
john clayton,85,,john,clayton,,,,,,,,,
jane porter clayton,85,,jane,porter,clayton,,,,,,,,
waziri,85,,waziri,,,,,,,,,,
d arnot,85,,d,arnot,,,,,,,,,
carl,85,,carl,,,,,,,,,,
greystoke,85,,greystoke,,,,,,,,,,
paulvitch,85,,paulvitch,,,,,,,,,,
alexis paulvitch,85,,alexis,paulvitch,,,,,,,,,
john ostler,158,,john,ostler,,,,,,,,,
alderneys,158,,alderneys,,,,,,,,,,
robin adair,158,,robin,adair,,,,,,,,,
hodges,158,,hodges,,,,,,,,,,
anne,158,,anne,,,,,,,,,,
clifton,158,,clifton,,,,,,,,,,
suckling,158,,suckling,,,,,,,,,,
bateses,158,,bateses,,,,,,,,,,
woodhouse taylor,158,,woodhouse,taylor,,,,,,,,,
stokes,158,,stokes,,,,,,,,,,
maple grove,158,,maple,grove,,,,,,,,,
patty,158,,patty,,,,,,,,,,
smallridge,158,,smallridge,,,,,,,,,,
harriet smith,158,,harriet,smith,,,,,,,,,
bird,158,,bird,,,,,,,,,,
jane fairfax,158,,jane,fairfax,,,,,,,,,
wallis,158,,wallis,,,,,,,,,,
randall,158,,randall,,,,,,,,,,
hannah,158,,hannah,,,,,,,,,,
wright,158,,wright,,,,,,,,,,
james cooper,158,,james,cooper,,,,,,,,,
abbey mill,158,,abbey,mill,,,,,,,,,
emma woodhouse,158,,emma,woodhouse,,,,,,,,,
bragge,158,,bragge,,,,,,,,,,
anne cox,158,,anne,cox,,,,,,,,,
churchills,158,,churchills,,,,,,,,,,
partridge,158,,partridge,,,,,,,,,,
jane bates,158,,jane,bates,,,,,,,,,
f  c  weston churchill,158,,f,,c,,weston,churchill,,,,,
goddard,158,,goddard,,,,,,,,,,
enscombe,158,,enscombe,,,,,,,,,,
john saunders,158,,john,saunders,,,,,,,,,
martins,158,,martins,,,,,,,,,,
robert martin,158,,robert,martin,,,,,,,,,
coles,158,,coles,,,,,,,,,,
broadwood,158,,broadwood,,,,,,,,,,
isabella,158,,isabella,,,,,,,,,,
astley,158,,astley,,,,,,,,,,
john knightley,158,,john,knightley,,,,,,,,,
ford,158,,ford,,,,,,,,,,
selina,158,,selina,,,,,,,,,,
mitchell,158,,mitchell,,,,,,,,,,
harriet,158,,harriet,,,,,,,,,,
cole,158,,cole,,,,,,,,,,
philip elton,158,,philip,elton,,,,,,,,,
william larkins,158,,william,larkins,,,,,,,,,
anna weston,158,,anna,weston,,,,,,,,,
theodore,158,,theodore,,,,,,,,,,
gilbert,158,,gilbert,,,,,,,,,,
jeffereys clara partridge,158,,jeffereys,clara,partridge,,,,,,,,
hetty,158,,hetty,,,,,,,,,,
george otway,158,,george,otway,,,,,,,,,
donwell lane,158,,donwell,lane,,,,,,,,,
westons,158,,westons,,,,,,,,,,
frank churchill,158,,frank,churchill,,,,,,,,,
uncle knightley,158,,uncle,knightley,,,,,,,,,
cramer,158,,cramer,,,,,,,,,,
box hill,158,,box,hill,,,,,,,,,
elton     knightley,158,,elton,,,,,knightley,,,,,
e  is knightley,158,,e,,is,knightley,,,,,,,
hartfield,158,,hartfield,,,,,,,,,,
william coxe,158,,william,coxe,,,,,,,,,
emma woodhouse ing,158,,emma,woodhouse,ing,,,,,,,,
serle,158,,serle,,,,,,,,,,
william cox,158,,william,cox,,,,,,,,,
eltons,158,,eltons,,,,,,,,,,
john knightleys,158,,john,knightleys,,,,,,,,,
chaperon,158,,chaperon,,,,,,,,,,
elton,158,,elton,,,,,,,,,,
elizabeth martin,158,,elizabeth,martin,,,,,,,,,
nash,158,,nash,,,,,,,,,,
perrys,158,,perrys,,,,,,,,,,
john abdy,158,,john,abdy,,,,,,,,,
richardson,158,,richardson,,,,,,,,,,
bickerton,158,,bickerton,,,,,,,,,,
hazle,158,,hazle,,,,,,,,,,
welch,158,,welch,,,,,,,,,,
garrick,158,,garrick,,,,,,,,,,
john and smith,158,,john,and,smith,,,,,,,,
turk,363,,turk,,,,,,,,,,
dirty eddie,363,,dirty,eddie,,,,,,,,,
lem smith,363,,lem,smith,,,,,,,,,
reginald paynter,363,,reginald,paynter,,,,,,,,,
doc,363,,doc,,,,,,,,,,
mak,363,,mak,,,,,,,,,,
jeb case,363,,jeb,case,,,,,,,,,
abigail prim,363,,abigail,prim,,,,,,,,,
willie case,363,,willie,case,,,,,,,,,
sherman,363,,sherman,,,,,,,,,,
pennings,363,,pennings,,,,,,,,,,
abbie prim,363,,abbie,prim,,,,,,,,,
billy byrne,363,,billy,byrne,,,,,,,,,
terry,363,,terry,,,,,,,,,,
dink,363,,dink,,,,,,,,,,
dopey charlie,363,,dopey,charlie,,,,,,,,,
bridge,363,,bridge,,,,,,,,,,
raffleian,363,,raffleian,,,,,,,,,,
cajon,363,,cajon,,,,,,,,,,
payson,363,,payson,,,,,,,,,,
daddy,363,,daddy,,,,,,,,,,
jonas prim,363,,jonas,prim,,,,,,,,,
jimmie,363,,jimmie,,,,,,,,,,
yew,363,,yew,,,,,,,,,,
reggie paynter,363,,reggie,paynter,,,,,,,,,
yuh,363,,yuh,,,,,,,,,,
his knibbs,363,,his,knibbs,,,,,,,,,
oskaloosa kid,363,,oskaloosa,kid,,,,,,,,,
abigail,363,,abigail,,,,,,,,,,
lizzy,363,,lizzy,,,,,,,,,,
columbus blackie,363,,columbus,blackie,,,,,,,,,
john baggs,363,,john,baggs,,,,,,,,,
samuel benham,363,,samuel,benham,,,,,,,,,
pudgy,363,,pudgy,,,,,,,,,,
giova,363,,giova,,,,,,,,,,
billy burke,363,,billy,burke,,,,,,,,,
oskaloosie kid,363,,oskaloosie,kid,,,,,,,,,
hettie penning,363,,hettie,penning,,,,,,,,,
beppo,363,,beppo,,,,,,,,,,
coxey,363,,coxey,,,,,,,,,,
jules verne,363,,jules,verne,,,,,,,,,
prince peter of blentz,364,,prince,peter,of,blentz,,,,,,,
brosnov,364,,brosnov,,,,,,,,,,
himmel,364,,himmel,,,,,,,,,,
yellow franz,364,,yellow,franz,,,,,,,,,
victoria custer,364,,victoria,custer,,,,,,,,,
count zellerndorf,364,,count,zellerndorf,,,,,,,,,
prince von der tann,364,,prince,von,der,tann,,,,,,,
emma von der tann,364,,emma,von,der,tann,,,,,,,
victoria of lutha,364,,victoria,of,lutha,,,,,,,,
kazov,364,,kazov,,,,,,,,,,
charlemagne,364,,charlemagne,,,,,,,,,,
king leopold,364,,king,leopold,,,,,,,,,
mein gott,364,,mein,gott,,,,,,,,,
von der tann,364,,von,der,tann,,,,,,,,
herman,364,,herman,,,,,,,,,,
herr custer,364,,herr,custer,,,,,,,,,
prince ludwig,364,,prince,ludwig,,,,,,,,,
stefan drontoff,364,,stefan,drontoff,,,,,,,,,
krantzwort,364,,krantzwort,,,,,,,,,,
lincoln,364,,lincoln,,,,,,,,,,
leopold of lutha,364,,leopold,of,lutha,,,,,,,,
von der tanns,364,,von,der,tanns,,,,,,,,
friedrich,364,,friedrich,,,,,,,,,,
haman,364,,haman,,,,,,,,,,
barney custer,364,,barney,custer,,,,,,,,,
prince regent,364,,prince,regent,,,,,,,,,
fritz,364,,fritz,,,,,,,,,,
victoria rubinroth,364,,victoria,rubinroth,,,,,,,,,
tafelberg,364,,tafelberg,,,,,,,,,,
otto butzow,364,,otto,butzow,,,,,,,,,
prince ludwig von der tann,364,,prince,ludwig,von,der,tann,,,,,,
ferrath,364,,ferrath,,,,,,,,,,
herr kramer,364,,herr,kramer,,,,,,,,,
rudolph,364,,rudolph,,,,,,,,,,
von coblich,364,,von,coblich,,,,,,,,,
ernst maenck,364,,ernst,maenck,,,,,,,,,
rubinroths,364,,rubinroths,,,,,,,,,,
robin hood,364,,robin,hood,,,,,,,,,
petko,364,,petko,,,,,,,,,,
stein,364,,stein,,,,,,,,,,
kaiser,364,,kaiser,,,,,,,,,,
bert,364,,bert,,,,,,,,,,
prince peter,364,,prince,peter,,,,,,,,,
burket,364,,burket,,,,,,,,,,
bernard custer,364,,bernard,custer,,,,,,,,,
luthanian,364,,luthanian,,,,,,,,,,
peter of blentz,364,,peter,of,blentz,,,,,,,,
leopold rubinroth,364,,leopold,rubinroth,,,,,,,,,
ludwig von der tann,364,,ludwig,von,der,tann,,,,,,,
dixon,364,,dixon,,,,,,,,,,
king of lutha,364,,king,of,lutha,,,,,,,,
herr gott,364,,herr,gott,,,,,,,,,
lustadt,364,,lustadt,,,,,,,,,,
karl schonau,364,,karl,schonau,,,,,,,,,
monstery,364,,monstery,,,,,,,,,,
gray ape,419,,gray,ape,,,,,,,,,
gugu the leopard,419,,gugu,the,leopard,,,,,,,,
pipt,419,,pipt,,,,,,,,,,
bini aru,419,,bini,aru,,,,,,,,,
shaggy man,419,,shaggy,man,,,,,,,,,
wild boar,419,,wild,boar,,,,,,,,,
loo,419,,loo,,,,,,,,,,
jellia jamb,419,,jellia,jamb,,,,,,,,,
mopsi aru,419,,mopsi,aru,,,,,,,,,
rose kingdom,419,,rose,kingdom,,,,,,,,,
sandy desert,419,,sandy,desert,,,,,,,,,
betsy bobbin,419,,betsy,bobbin,,,,,,,,,
hank the mule,419,,hank,the,mule,,,,,,,,
jinjur,419,,jinjur,,,,,,,,,,
jack pumpkinhead,419,,jack,pumpkinhead,,,,,,,,,
magic flower,419,,magic,flower,,,,,,,,,
gugu the leopard king,419,,gugu,the,leopard,king,,,,,,,
ozma,419,,ozma,,,,,,,,,,
zixi,419,,zixi,,,,,,,,,,
ruggedo,419,,ruggedo,,,,,,,,,,
nole,419,,nole,,,,,,,,,,
pink kitten,419,,pink,kitten,,,,,,,,,
chipo,419,,chipo,,,,,,,,,,
leopard gugu,419,,leopard,gugu,,,,,,,,,
bush,419,,bush,,,,,,,,,,
li mon eags,419,,li,mon,eags,,,,,,,,
kalidah king,419,,kalidah,king,,,,,,,,,
yip,419,,yip,,,,,,,,,,
dorothy the lamb,419,,dorothy,the,lamb,,,,,,,,
chick the cherub,419,,chick,the,cherub,,,,,,,,
yellow hen,419,,yellow,hen,,,,,,,,,
trot,419,,trot,,,,,,,,,,
noland,419,,noland,,,,,,,,,,
gugu the king,419,,gugu,the,king,,,,,,,,
arx,419,,arx,,,,,,,,,,
kiki aru,419,,kiki,aru,,,,,,,,,
mombi,419,,mombi,,,,,,,,,,
margalot,419,,margalot,,,,,,,,,,
patchwork girl,419,,patchwork,girl,,,,,,,,,
king bud,419,,king,bud,,,,,,,,,
tirrip,419,,tirrip,,,,,,,,,,
h  m  wogglebug,419,,h,,m,,wogglebug,,,,,,
bru,419,,bru,,,,,,,,,,
john dough,419,,john,dough,,,,,,,,,
kiki the hyup,419,,kiki,the,hyup,,,,,,,,
gillikin,419,,gillikin,,,,,,,,,,
rango,419,,rango,,,,,,,,,,
ji jimmy,837,,ji,jimmy,,,,,,,,,
rosy,837,,rosy,,,,,,,,,,
half curate,837,,half,curate,,,,,,,,,
lionel cohen,837,,lionel,cohen,,,,,,,,,
dear jimmy,837,,dear,jimmy,,,,,,,,,
levinstein,837,,levinstein,,,,,,,,,,
poseidon,837,,poseidon,,,,,,,,,,
milo,837,,milo,,,,,,,,,,
mascot moth,837,,mascot,moth,,,,,,,,,
gordon,837,,gordon,,,,,,,,,,
queen of babylon,837,,queen,of,babylon,,,,,,,,
imogen,837,,imogen,,,,,,,,,,
rosherville,837,,rosherville,,,,,,,,,,
marcella,837,,marcella,,,,,,,,,,
marcus,837,,marcus,,,,,,,,,,
david devant,837,,david,devant,,,,,,,,,
psammead,837,,psammead,,,,,,,,,,
jacob absalom,837,,jacob,absalom,,,,,,,,,
campbell bannerman,837,,campbell,bannerman,,,,,,,,,
anthea musingly,837,,anthea,musingly,,,,,,,,,
megatheriums,837,,megatheriums,,,,,,,,,,
joseph,837,,joseph,,,,,,,,,,
nisroch,837,,nisroch,,,,,,,,,,
ivalunk,837,,ivalunk,,,,,,,,,,
green,837,,green,,,,,,,,,,
sammy,837,,sammy,,,,,,,,,,
khonsu,837,,khonsu,,,,,,,,,,
babylonish,837,,babylonish,,,,,,,,,,
amulet,837,,amulet,,,,,,,,,,
huth,837,,huth,,,,,,,,,,
venus,837,,venus,,,,,,,,,,
burns,837,,burns,,,,,,,,,,
sherlock holmes,837,,sherlock,holmes,,,,,,,,,
squirrel,837,,squirrel,,,,,,,,,,
son of the sun,837,,son,of,the,sun,,,,,,,
north,837,,north,,,,,,,,,,
bluebeard,837,,bluebeard,,,,,,,,,,
bloomsbury,837,,bloomsbury,,,,,,,,,,
rudyard kipling,837,,rudyard,kipling,,,,,,,,,
emma,837,,emma,,,,,,,,,,
uncle reginald,837,,uncle,reginald,,,,,,,,,
aladdin,837,,aladdin,,,,,,,,,,
carter,837,,carter,,,,,,,,,,
bradshaw,837,,bradshaw,,,,,,,,,,
gaoler,837,,gaoler,,,,,,,,,,
julius caesar,837,,julius,caesar,,,,,,,,,
pussy,837,,pussy,,,,,,,,,,
harlech,837,,harlech,,,,,,,,,,
guy nickalls,837,,guy,nickalls,,,,,,,,,
maria,837,,maria,,,,,,,,,,
moses,837,,moses,,,,,,,,,,
robert,837,,robert,,,,,,,,,,
i am the queen,837,,i,am,the,queen,,,,,,,
prentice,837,,prentice,,,,,,,,,,
henry hirsh,837,,henry,hirsh,,,,,,,,,
amen ra,837,,amen,ra,,,,,,,,,
father,837,,father,,,,,,,,,,
shrobsall,837,,shrobsall,,,,,,,,,,
pheles,837,,pheles,,,,,,,,,,
ritti marduk,837,,ritti,marduk,,,,,,,,,
mulberry bush,837,,mulberry,bush,,,,,,,,,
horus,837,,horus,,,,,,,,,,
pharaoh,837,,pharaoh,,,,,,,,,,
mother,837,,mother,,,,,,,,,,
