bookId_RowNum,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
pg34619-22,0.0104,0.3383,0.1152,0.0639,0.0268,0.0245,0.0393,0.0767,0.0414,0.0002,0.0042,0.0111,0.0031,0.1314,0.0155,0.0092,0.2130,0.2243,0.5627,0.5952,-0.0724,1.4179,-1.0000
pg17062-23,0.0105,0.3860,0.1043,0.0530,0.0253,0.0241,0.0411,0.0896,0.0182,0.0081,0.0146,0.0129,0.0080,0.1662,0.2389,0.0070,0.1226,0.1552,0.7222,0.5784,0.0094,1.1424,-1.0000
pg32439-24,0.0161,0.2749,0.1538,0.0819,0.0339,0.0289,0.0382,0.0593,0.0317,0.0015,0.0042,0.0039,0.0028,0.1070,0.0942,0.0117,0.2206,0.1470,0.6324,0.6392,-0.1128,-0.1558,-1.0000
pg34616-25,0.0087,0.3034,0.1425,0.0648,0.0268,0.0265,0.0369,0.0602,0.0320,0.0017,0.0123,0.0076,0.0014,0.1187,0.1250,0.0065,0.1448,0.2617,0.5935,0.5767,0.1221,1.4069,-1.0000
pg22411-26,0.0164,0.0446,0.2115,0.0799,0.0380,0.0287,0.0379,0.0566,0.0328,0.0047,0.0111,0.0003,0.0063,0.1105,0.0346,0.0064,0.1863,0.2515,0.5622,0.6892,-0.1075,0.4978,-1.0000
pg23741-27,0.0099,0.2110,0.1104,0.0916,0.0338,0.0309,0.0337,0.0545,0.0407,0.0006,0.0036,0.0044,0.0024,0.0967,0.0199,0.0098,0.1806,0.1716,0.6478,0.6989,0.0084,0.0452,-1.0000
pg20235-28,0.0077,0.2962,0.1284,0.0499,0.0260,0.0237,0.0402,0.0814,0.0174,0.0074,0.0153,0.0119,0.0067,0.1562,0.2397,0.0050,0.2021,0.1474,0.6505,0.5223,-0.0660,1.0320,-1.0000
pg44421-29,0.0251,0.3095,0.0358,0.0734,0.0233,0.0268,0.0271,0.0776,0.0344,0.0036,0.0084,0.0024,0.0067,0.1191,0.0347,0.0233,0.2690,0.1793,0.5517,0.6122,0.0073,-0.0802,-1.0000
pg6376-30,0.0255,0.2011,0.1748,0.0725,0.0292,0.0245,0.0388,0.0679,0.0390,0.0018,0.0082,0.0038,0.0128,0.1206,-0.0391,0.0173,0.2232,0.2003,0.5764,0.7105,0.1316,-0.3352,-1.0000
pg23736-31,0.0153,0.2114,0.1401,0.0680,0.0270,0.0300,0.0355,0.0648,0.0343,0.0001,0.0008,0.0087,0.0065,0.1099,0.0433,0.0130,0.1670,0.1329,0.7001,0.6942,0.1306,0.8145,-1.0000
pg30263-32,0.0175,0.2524,0.0822,0.0779,0.0215,0.0282,0.0327,0.0534,0.0449,0.0016,0.0006,0.0054,0.0031,0.0938,-0.0144,0.0138,0.2151,0.1728,0.6121,0.6866,-0.0373,-0.4325,-1.0000
pg11520-33,0.0254,0.2664,0.2241,0.1125,0.0267,0.0241,0.0255,0.0456,0.0630,0.0001,0.0006,0.0121,0.0145,0.0839,-0.1438,0.0274,0.3838,0.2514,0.3649,0.8215,-0.0820,-0.2360,1.0000
pg34849-34,0.0100,0.5013,0.0412,0.0647,0.0346,0.0288,0.0398,0.0712,0.0237,0.0032,0.0149,0.0020,0.0056,0.1311,0.2125,0.0101,0.0888,0.2156,0.6956,0.5642,-0.0894,0.0215,-1.0000
pg34609-35,0.0303,0.2921,0.1336,0.0804,0.0231,0.0217,0.0353,0.0805,0.0439,0.0005,0.0076,0.0055,0.0109,0.1294,-0.0519,0.0288,0.3076,0.2020,0.4905,0.8099,-0.0543,-0.8036,-1.0000
pg30247-36,0.0196,0.1952,0.2438,0.0707,0.0323,0.0225,0.0320,0.0724,0.0358,0.0004,0.0053,0.0079,0.0074,0.1180,0.0108,0.0141,0.1901,0.2063,0.6037,0.7089,-0.0745,-0.3300,-1.0000
pg31578-37,0.0164,0.2016,0.1781,0.0855,0.0292,0.0273,0.0357,0.0552,0.0394,0.0013,0.0040,0.0054,0.0048,0.1015,0.0058,0.0125,0.2455,0.1571,0.5974,0.6975,-0.0267,-0.1595,-1.0000
pg32424-38,0.0113,0.2422,0.0396,0.0592,0.0257,0.0287,0.0377,0.0781,0.0251,0.0008,0.0120,0.0080,0.0041,0.1366,0.1845,0.0059,0.1564,0.1730,0.6705,0.5768,0.4164,1.2141,-1.0000
pg32428-39,0.0166,0.1516,0.1516,0.0951,0.0220,0.0260,0.0315,0.0537,0.0471,0.0015,0.0041,0.0098,0.0096,0.1007,-0.0654,0.0157,0.2514,0.1792,0.5694,0.7696,0.0190,-0.1518,-1.0000
pg33759-40,0.0182,0.4076,0.1239,0.0703,0.0262,0.0266,0.0293,0.0647,0.0468,0.0013,0.0014,0.0047,0.0029,0.1014,-0.0337,0.0144,0.2241,0.2385,0.5375,0.6578,-0.0511,0.6531,-1.0000
pg23952-41,0.0136,0.1202,0.1254,0.0955,0.0322,0.0232,0.0394,0.0824,0.0308,0.0006,0.0083,0.0062,0.0038,0.1369,0.1196,0.0118,0.1606,0.1834,0.6561,0.6453,-0.0203,-0.6754,-1.0000
pg19459-42,0.0075,0.1630,0.0698,0.0601,0.0261,0.0233,0.0407,0.0578,0.0312,0.0010,0.0022,0.0002,0.0013,0.1018,0.1422,0.0064,0.0985,0.2203,0.6812,0.5183,-0.0820,0.3294,-1.0000
pg39066-43,0.0183,0.3517,0.1507,0.0801,0.0264,0.0321,0.0327,0.0626,0.0417,0.0002,0.0017,0.0090,0.0034,0.1063,0.0017,0.0171,0.1816,0.1879,0.6305,0.7019,-0.0607,0.3027,-1.0000
pg21767-44,0.0220,0.2135,0.2706,0.0734,0.0291,0.0240,0.0322,0.0667,0.0422,0.0008,0.0055,0.0172,0.0085,0.1223,-0.0393,0.0192,0.2597,0.1942,0.5461,0.6968,-0.0171,-0.2090,-1.0000
pg15094-45,0.0300,0.1939,0.1662,0.0963,0.0187,0.0234,0.0325,0.0557,0.0495,0.0012,0.0090,0.0116,0.0071,0.1099,-0.0856,0.0312,0.3499,0.2516,0.3985,0.6882,-0.0735,-0.5367,-1.0000
