35441,The Dodd Family Abroad- Vol. I,en,Lever| Charles James,Lever| Charles James
35442,The Dodd Family Abroad- Vol. II,en,Lever| Charles James,Lever| Charles James
35443,Lost Lenore: The Adventures of a Rolling Stone,en,Reid| Mayne,Reid| Mayne
35462,Sharing Her Crime: A Novel,en,Fleming| May Agnes,Fleming| May Agnes
35467,"The Tenants of Malory, Volume 1",en,"Le Fanu, Joseph Sheridan","Le Fanu, Joseph Sheridan"
35468,"The Tenants of Malory, Volume 2",en,"Le Fanu, Joseph Sheridan","Le Fanu, Joseph Sheridan"
35469,"The Tenants of Malory, Volume 3",en,"Le Fanu, Joseph Sheridan","Le Fanu, Joseph Sheridan"
35484,The Black Eagle Mystery,en,Bonner| Geraldine,Bonner| Geraldine
35485,The Doctor's Wife: A Novel,en,"Braddon, M. E. (Mary Elizabeth)","Braddon, M. E. (Mary Elizabeth)"
35509,The Golden Road,en,Allen| Frank Waller,Allen| Frank Waller
35517,The Three Impostors- The Transmutations,en,Machen| Arthur,Machen| Arthur
35523,Only One Love- Who Was the Heir,en,Garvice| Charles,Garvice| Charles
35527,The Haute Noblesse: A Novel,en,Fenn| George Manville,Fenn| George Manville
35528,"The Secret of the Sands- The ""Water Lily"" and her Crew",en,Collingwood| Harry,Collingwood| Harry
35533,The Haunted Room: A Tale,en,E.| A. L. O.,E.| A. L. O.
35547,Das Buch von Monelle,de,"Schwob, Marcel","Schwob, Marcel"
35548,Doctor Cupid: A Novel,en,Broughton| Rhoda,Broughton| Rhoda
35587,The Headless Horseman: A Strange Tale of Texas,en,"Reid, Mayne","Reid, Mayne"
35599,The Funny Philosophers- or Wags and Sweethearts.  A Novel,en,Yellott| George,Yellott| George
35603,"Meister Autor; oder, die Geschichten vom versunkenen Garten",de,"Raabe, Wilhelm","Raabe, Wilhelm"
35617,The Terror: A Mystery,en,"Machen, Arthur","Machen, Arthur"
35651,Inselwelt. Erster Band. Indische Skizzen,de,"Gerstäcker, Friedrich","Gerstäcker, Friedrich"
