bid;bname;blang;auth_name;sub
7107;Adventures of Huckleberry Finn, Chapters 36 to the Last;en;Twain, Mark;Adventure
7193;The Adventures of Tom Sawyer, Part 1.;en;Twain, Mark;Adventure
7194;The Adventures of Tom Sawyer, Part 2.;en;Twain, Mark;Adventure
7195;The Adventures of Tom Sawyer, Part 3.;en;Twain, Mark;Adventure
7196;The Adventures of Tom Sawyer, Part 4.;en;Twain, Mark;Adventure
7197;The Adventures of Tom Sawyer, Part 5.;en;Twain, Mark;Adventure
7198;The Adventures of Tom Sawyer, Part 6.;en;Twain, Mark;Adventure
7199;The Adventures of Tom Sawyer, Part 7.;en;Twain, Mark;Adventure
7200;The Adventures of Tom Sawyer, Part 8.;en;Twain, Mark;Adventure
7842;The Rise of Iskander;en;Disraeli| Earl of Beaconsfield Benjamin;Literary
9052;The Golden Calf;en;Braddon| M. E.;Literary
9362;Birds of Prey;en;Braddon| M. E.;Literary
9927;The Bronze Bell;en;Vance| Louis Joseph;Sea and Adventure
9931;K;en;Rinehart, Mary Roberts;Detective and mystery 
10477;Beacon Lights of History, Volume 01: The Old Pagan Civilizations;en;Lord, John;History
10478;Beacon Lights of History, Volume 02: Jewish Heroes and Prophets;en;Lord, John;History
10484;Beacon Lights of History, Volume 03: Ancient Achievements;en;Lord, John;History
10624;Three John Silence Stories;en;Blackwood, Algernon;Horror
10659;Three More John Silence Stories;en;Blackwood, Algernon;Horror
11045;The Ghost Ship;en;Machen, Arthur;Fantasy 
11075;Der Mann im Nebel;de;Falke, Gustav;Fiction
11970;Wife in Name Only;en;Brame| Charlotte M.;Literary
14605;The Devil's Garden;en;Maxwell| W. B.;Literary
15117;"Sea and Shore - A Sequel to ""Miriam's Memoirs""";en;Warfield| Catherine A.;Literary
15123;David Lockwin�The People's Idol;en;McGovern| John;Literary
15143;Famous Modern Ghost Stories;en;Bierce, Ambrose;Horror
15179;The Inner Sisterhood - A Social Study in High Colors;en;Sherley| Douglass;Literary
15181;My Mother's Rival - Everyday Life Library No. 4;en;Brame| Charlotte M.;Literary
15182;Marion Arleigh's Penance - Everyday Life Library No. 5;en;Brame| Charlotte M.;Literary
15183;The Tragedy of the Chain Pier - Everyday Life Library No. 3;en;Brame| Charlotte M.;Literary
19337;A Christmas Carol;en;Dickens, Charles;Horror
