bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
pg11122-1,0.0337,0.1772,0.0304,0.027,0.0125,0.0214,0.0303,0.0794,0.1077,0.0008,0.0064,0.0119,0.0001,0.1288,-0.3418,0.0065,0.3,0.25,0.45,0.5474,0.0088,0.1326,0.4016,0.9721
pg11122-10,0.0102,0.3399,0.0198,0.0316,0.024,0.0263,0.0479,0.0854,0.0318,0.0009,0.0083,0.0047,0.0016,0.1472,0.144,0.0046,0.15,0.4,0.45,0.5246,0.0088,0.1326,0.4016,0.9721
pg11122-11,0.0078,0.2915,0.0329,0.0457,0.0212,0.0284,0.0421,0.0715,0.0296,0.0006,0.0063,0.0075,0.0008,0.128,0.1909,0.0039,0.0556,0.1667,0.7778,0.5338,0.0088,0.1326,0.4016,0.9721
pg11122-12,0.0093,0.1531,0.0557,0.0307,0.0196,0.0231,0.0459,0.0784,0.0314,0.0004,0.01,0.0059,0.0017,0.1406,0.1296,0.0041,0.1579,0.1579,0.6842,0.5383,0.0088,0.1326,0.4016,0.9721
pg11122-13,0.0079,0.1535,0.0242,0.0312,0.0183,0.0293,0.0431,0.0828,0.0257,0.0015,0.0084,0.0026,0.0008,0.1384,0.316,0.0024,0.1111,0.2222,0.6667,0.4709,0.0088,0.1326,0.4016,0.9721
pg11122-14,0.0108,0.3672,0.1224,0.0428,0.0242,0.0263,0.0405,0.0861,0.0335,0.0002,0.0065,0.0038,0.0011,0.1371,0.1082,0.0067,0.2222,0.2222,0.5556,0.5754,0.0088,0.1326,0.4016,0.9721
pg11122-15,0.0115,0.1833,0.0916,0.0396,0.0237,0.026,0.0398,0.0853,0.0283,0.0004,0.0089,0.0055,0.0031,0.1399,0.1746,0.005,0.1053,0.1053,0.7895,0.5874,0.0088,0.1326,0.4016,0.9721
pg11122-16,0.0168,0.2106,0.1431,0.0295,0.0327,0.0243,0.0427,0.1024,0.0263,0.0025,0.0161,0.0062,0.0046,0.1699,0.1634,0.0034,0.1875,0.125,0.6875,0.7392,0.0088,0.1326,0.4016,0.9721
pg11122-17,0.0207,0.1476,0.135,0.0353,0.0284,0.0231,0.0397,0.1005,0.023,0.0021,0.0117,0.0127,0.0129,0.1667,0.0674,0.0078,0.1667,0.1111,0.7222,0.7202,0.0088,0.1326,0.4016,0.9721
pg11122-18,0.0226,0.1702,0.1113,0.0351,0.0305,0.0239,0.0404,0.0968,0.0218,0.0025,0.0144,0.0083,0.0106,0.1624,0.1359,0.0042,0.1,0.2,0.7,0.7121,0.0088,0.1326,0.4016,0.9721
pg11122-2,0.0072,0.2442,0.0342,0.0372,0.0271,0.0278,0.0473,0.084,0.0239,0.0006,0.0088,0.0025,0.0026,0.1432,0.2105,0.0031,0.2941,0.0588,0.6471,0.4953,0.0088,0.1326,0.4016,0.9721
pg11122-3,0.0076,0.2293,0.0062,0.0377,0.0264,0.0261,0.0472,0.0773,0.0324,0.0008,0.0077,0.0048,0.0008,0.1378,0.1139,0.0035,0.3,0.2,0.5,0.5875,0.0088,0.1326,0.4016,0.9721
pg11122-4,0.0074,0.1509,0.0013,0.0494,0.0248,0.0212,0.0427,0.0784,0.029,0.0004,0.0121,0.0025,0.0012,0.1361,0.144,0.0021,0.1579,0.1579,0.6842,0.5082,0.0088,0.1326,0.4016,0.9721
pg11122-5,0.0072,0.1446,0.0447,0.0403,0.0268,0.0246,0.0447,0.0858,0.0301,0.0004,0.0079,0.0048,0.0014,0.1436,0.112,0.0028,0.2,0.15,0.65,0.502,0.0088,0.1326,0.4016,0.9721
pg11122-6,0.0088,0.4286,0.0417,0.0292,0.0212,0.0295,0.0448,0.0808,0.0305,0.0001,0.0088,0.0022,0.0005,0.1367,0.1981,0.0036,0.1667,0.2778,0.5556,0.4807,0.0088,0.1326,0.4016,0.9721
pg11122-7,0.0067,0.4036,0.018,0.0304,0.0251,0.0317,0.0405,0.0774,0.0309,0.0002,0.007,0.0025,0.0004,0.1276,0.1909,0.0037,0.0526,0.0526,0.8947,0.4537,0.0088,0.1326,0.4016,0.9721
pg11122-8,0.0088,0.2318,0.0221,0.0266,0.0187,0.0273,0.0459,0.0842,0.0306,0.0003,0.0062,0.0033,0.0005,0.1399,0.1862,0.0046,0.1579,0.2105,0.6316,0.4549,0.0088,0.1326,0.4016,0.9721
pg11122-9,0.0085,0.4126,0.0245,0.0392,0.026,0.0256,0.0484,0.0761,0.0304,0.0011,0.0117,0.0036,0.0018,0.1409,0.1656,0.0042,0.1667,0.4444,0.3889,0.5237,0.0088,0.1326,0.4016,0.9721
pg6652-1,0.0132,0.1485,0.0429,0.037,0.0236,0.0276,0.0321,0.0822,0.0207,0.0022,0.0108,0.0104,0.0139,0.1377,0.0092,0.006,0.2222,0.2222,0.5556,0.6358,0.0105,0.4328,0.755,0.8702
pg6652-10,0.0179,0.1601,0.1253,0.0565,0.0297,0.0199,0.0398,0.0952,0.0216,0.0028,0.0177,0.016,0.0126,0.1715,-0.0008,0.008,0.1053,0.1579,0.7368,0.7582,0.0105,0.4328,0.755,0.8702
pg6652-11,0.0149,0.2461,0.0978,0.0352,0.0282,0.0223,0.0382,0.1035,0.0184,0.0077,0.0156,0.0091,0.0097,0.1741,0.0238,0.0048,0.3158,0.1053,0.5789,0.6606,0.0105,0.4328,0.755,0.8702
pg6652-12,0.0145,0.2109,0.094,0.0478,0.0309,0.0248,0.0387,0.093,0.021,0.0046,0.0137,0.0128,0.017,0.1628,-0.0011,0.0054,0.375,0.1875,0.4375,0.7449,0.0105,0.4328,0.755,0.8702
pg6652-13,0.0204,0.2236,0.0367,0.0617,0.0282,0.0269,0.031,0.0878,0.0304,0.0023,0.0127,0.0226,0.0236,0.1564,-0.019,0.0053,0.1667,0.2778,0.5556,0.7965,0.0105,0.4328,0.755,0.8702
pg6652-14,0.0196,0.1475,0.0568,0.0536,0.0203,0.019,0.0368,0.0733,0.0273,0.0044,0.0148,0.0212,0.0218,0.1505,-0.0147,0.0075,0.5,0.2,0.3,0.8203,0.0105,0.4328,0.755,0.8702
pg6652-15,0.0146,0.189,0.0467,0.0545,0.0312,0.023,0.0367,0.099,0.0164,0.0032,0.0142,0.0082,0.0143,0.1613,0.0129,0.007,0.6,0.05,0.35,0.7272,0.0105,0.4328,0.755,0.8702
pg6652-16,0.0214,0.3135,0.052,0.0543,0.0264,0.0223,0.0371,0.0919,0.0231,0.0047,0.013,0.0138,0.0137,0.1605,0.002,0.0077,0.0526,0.1579,0.7895,0.7813,0.0105,0.4328,0.755,0.8702
pg6652-17,0.0248,0.2075,0.1782,0.0644,0.031,0.0233,0.0394,0.0806,0.0276,0.0033,0.0145,0.0135,0.0118,0.1513,-0.0008,0.0066,0.1667,0.1111,0.7222,0.7621,0.0105,0.4328,0.755,0.8702
pg6652-18,0.0129,0.1354,0.0233,0.073,0.0215,0.023,0.0353,0.0771,0.0257,0.0047,0.0158,0.0125,0.0111,0.1454,0.002,0.0038,0.0588,0.1765,0.7647,0.7656,0.0105,0.4328,0.755,0.8702
pg6652-19,0.0083,0.574,0.0067,0.023,0.021,0.0315,0.0327,0.0896,0.0381,0.0007,0.005,0.0078,0.0006,0.1359,0.0033,0.0173,0.15,0.3,0.55,0.4471,0.0105,0.4328,0.755,0.8702
pg6652-2,0.0203,0.1711,0.0751,0.0599,0.0307,0.0235,0.0493,0.0851,0.0174,0.0051,0.0142,0.0121,0.0181,0.1658,0.0043,0.0029,0.4211,0.1053,0.4737,0.7781,0.0105,0.4328,0.755,0.8702
pg6652-3,0.0173,0.2324,0.1558,0.0483,0.0313,0.0233,0.0399,0.0924,0.021,0.0065,0.0126,0.0099,0.0115,0.1613,0.0146,0.0079,0.1667,0.3889,0.4444,0.7158,0.0105,0.4328,0.755,0.8702
pg6652-4,0.0154,0.3455,0.1387,0.0499,0.0294,0.0221,0.0419,0.0952,0.0153,0.001,0.0104,0.0223,0.0098,0.1708,0.0336,0.0153,0.2632,0.0526,0.6842,0.6766,0.0105,0.4328,0.755,0.8702
pg6652-5,0.0085,0.3487,0.1334,0.0492,0.0265,0.0285,0.0471,0.1072,0.0082,0.001,0.0116,0.0152,0.0117,0.1821,0.0703,0.0115,0.2667,0.2,0.5333,0.5846,0.0105,0.4328,0.755,0.8702
pg6652-6,0.014,0.3074,0.0758,0.0633,0.033,0.0209,0.0472,0.0908,0.0206,0.0069,0.0195,0.0104,0.0105,0.1748,0.0151,0.0135,0.2105,0.2105,0.5789,0.7567,0.0105,0.4328,0.755,0.8702
pg6652-7,0.0167,0.2911,0.0715,0.0483,0.0314,0.0168,0.034,0.1009,0.0192,0.0068,0.0132,0.0121,0.0144,0.167,0.0069,0.0077,0.3333,0.0556,0.6111,0.7444,0.0105,0.4328,0.755,0.8702
pg6652-8,0.0154,0.2955,0.0403,0.0557,0.0262,0.0248,0.0398,0.1033,0.0141,0.0016,0.0094,0.0212,0.0135,0.1753,0.0348,0.0029,0.125,0.1875,0.6875,0.6963,0.0105,0.4328,0.755,0.8702
pg6652-9,0.0116,0.2026,0.0421,0.0413,0.0204,0.0242,0.0393,0.0927,0.0082,0.0007,0.006,0.0297,0.0184,0.1684,0.0172,0.0067,0.5,0.1667,0.3333,0.6859,0.0105,0.4328,0.755,0.8702
pg20420-1,0.0081,0.3264,0.1093,0.0463,0.0214,0.0286,0.0381,0.0596,0.0324,0.0005,0.0041,0.0033,0.0015,0.1056,0.1573,0.0083,0.0435,0.2174,0.7391,0.504,0.0107,0.4177,0.5032,-0.6391
pg20420-2,0.0084,0.0617,0.2559,0.0677,0.0214,0.032,0.0335,0.0628,0.0413,0.0007,0.0038,0.0042,0.0024,0.105,0.0098,0.0109,0.2857,0.0952,0.619,0.6343,0.0107,0.4177,0.5032,-0.6391
pg20420-3,0.008,0.1802,0.1475,0.0725,0.0224,0.0392,0.0335,0.0657,0.0351,0.0023,0.0036,0.0052,0.0013,0.1103,0.1225,0.0056,0.1429,0.1905,0.6667,0.6382,0.0107,0.4177,0.5032,-0.6391
pg20420-4,0.0085,0.2217,0.1803,0.0648,0.0245,0.0376,0.0312,0.0617,0.0374,0.0014,0.0039,0.006,0.0015,0.1042,0.0959,0.0053,0.4211,0.1053,0.4737,0.6085,0.0107,0.4177,0.5032,-0.6391
pg20420-5,0.0068,0.3304,0.0337,0.0782,0.0226,0.0367,0.0305,0.059,0.0323,0.0008,0.0022,0.0026,0.0024,0.0951,0.1958,0.0069,0.2273,0.0909,0.6818,0.6104,0.0107,0.4177,0.5032,-0.6391
pg20420-6,0.0078,0.2324,0.1341,0.0623,0.0272,0.0411,0.0319,0.067,0.0335,0.0021,0.003,0.0061,0.001,0.1101,0.1761,0.0041,0.2174,0.2609,0.5217,0.5949,0.0107,0.4177,0.5032,-0.6391
pg20420-7,0.0147,0.3801,0.1055,0.0639,0.0249,0.0369,0.0351,0.0825,0.0353,0.0009,0.003,0.0062,0.003,0.1277,0.1275,0.006,0.3182,0.0909,0.5909,0.609,0.0107,0.4177,0.5032,-0.6391
pg20352-1,0.0132,0.3633,0.0475,0.0532,0.0247,0.0251,0.0205,0.093,0.0282,0.0028,0.0057,0.0082,0.0057,0.1302,0.1446,0.0319,0.25,0.05,0.7,0.6221,0.0109,0.5648,0.8193,-63.389
pg20352-10,0.0129,0.3581,0.0517,0.057,0.0223,0.0241,0.0209,0.0888,0.0301,0.0018,0.0065,0.0087,0.0065,0.1267,0.089,0.0312,0.4,0.15,0.45,0.6311,0.0109,0.5648,0.8193,-63.389
pg20352-11,0.0148,0.3571,0.0308,0.0579,0.0233,0.0255,0.0175,0.0914,0.0294,0.0041,0.0046,0.0113,0.0076,0.1289,0.1012,0.0334,0.2,0.1,0.7,0.6385,0.0109,0.5648,0.8193,-63.389
pg20352-12,0.0162,0.4182,0.0485,0.058,0.0231,0.0226,0.0205,0.0739,0.0367,0.0028,0.0082,0.0118,0.0049,0.1172,0.0534,0.0241,0.0952,0.1429,0.7619,0.639,0.0109,0.5648,0.8193,-63.389
pg20352-2,0.0139,0.3515,0.0278,0.0588,0.0203,0.0272,0.0202,0.0995,0.0308,0.0024,0.0047,0.0102,0.0081,0.137,0.076,0.0291,0.05,0.1,0.85,0.6241,0.0109,0.5648,0.8193,-63.389
pg20352-3,0.0155,0.3794,0.0552,0.0585,0.0248,0.0256,0.0204,0.0878,0.0296,0.0037,0.0063,0.0108,0.0076,0.129,0.0916,0.0314,0.2381,0.2381,0.5238,0.6375,0.0109,0.5648,0.8193,-63.389
pg20352-4,0.0144,0.335,0.0288,0.0601,0.0199,0.0235,0.0203,0.0863,0.0299,0.0035,0.0064,0.0129,0.0085,0.1294,0.0799,0.0316,0.15,0.1,0.75,0.6482,0.0109,0.5648,0.8193,-63.389
pg20352-5,0.0156,0.3592,0.0336,0.0584,0.019,0.0282,0.0236,0.0868,0.0295,0.0025,0.0056,0.0101,0.0065,0.1286,0.0916,0.0237,0.0476,0.2381,0.7143,0.6372,0.0109,0.5648,0.8193,-63.389
pg20352-6,0.015,0.376,0.0366,0.0565,0.0201,0.0232,0.0203,0.0868,0.0283,0.0026,0.0059,0.0106,0.0076,0.1262,0.0957,0.0295,0.1,0.1,0.8,0.6211,0.0109,0.5648,0.8193,-63.389
pg20352-7,0.0157,0.3814,0.0513,0.0616,0.0223,0.0257,0.0182,0.0861,0.0297,0.0042,0.0066,0.013,0.0076,0.1281,0.0773,0.0301,0.2,0.2,0.6,0.6429,0.0109,0.5648,0.8193,-63.389
pg20352-8,0.0138,0.4124,0.0509,0.0587,0.0218,0.0267,0.0222,0.0854,0.0289,0.0029,0.0063,0.0137,0.0067,0.1305,0.1054,0.03,0.05,0.2,0.75,0.6504,0.0109,0.5648,0.8193,-63.389
pg20352-9,0.0124,0.3784,0.0602,0.056,0.0238,0.0266,0.0209,0.0873,0.0288,0.0028,0.007,0.011,0.0056,0.129,0.1243,0.0278,0.3333,0.1429,0.5238,0.6199,0.0109,0.5648,0.8193,-63.389
pg12444-1,0.0213,0.2673,0.0538,0.0486,0.0165,0.0265,0.0322,0.0537,0.0418,0.0029,0.0054,0.007,0.0054,0.1012,-0.0484,0.0172,0.1379,0.2414,0.6207,0.6344,0.0124,0.5537,0.7491,-0.2835
pg12444-10,0.0477,0.2895,0.0368,0.0607,0.0153,0.0238,0.0239,0.0588,0.0483,0.0056,0.0046,0.0087,0.0083,0.1016,-0.1241,0.033,0.2581,0.1935,0.5484,0.7298,0.0124,0.5537,0.7491,-0.2835
pg12444-11,0.0468,0.2473,0.117,0.0599,0.023,0.0254,0.0227,0.0537,0.0446,0.0041,0.0043,0.0124,0.0119,0.0972,-0.129,0.0303,0.6,0.0667,0.3333,0.7478,0.0124,0.5537,0.7491,-0.2835
pg12444-12,0.0399,0.274,0.0673,0.0634,0.0198,0.0224,0.0225,0.0625,0.0454,0.0042,0.0026,0.0086,0.0087,0.1004,-0.121,0.0326,0.3333,0.0667,0.6,0.6999,0.0124,0.5537,0.7491,-0.2835
pg12444-13,0.038,0.2895,0.0837,0.0689,0.0171,0.0223,0.0231,0.0552,0.046,0.0045,0.0039,0.0089,0.0084,0.0956,-0.1247,0.0332,0.5,0.0333,0.4667,0.7367,0.0124,0.5537,0.7491,-0.2835
pg12444-14,0.0356,0.2857,0.0632,0.06,0.0191,0.0228,0.024,0.0615,0.0426,0.0056,0.0038,0.0062,0.0091,0.1011,-0.0995,0.0322,0.3871,0.0968,0.5161,0.7168,0.0124,0.5537,0.7491,-0.2835
pg12444-15,0.0379,0.283,0.0837,0.0655,0.0193,0.0261,0.0222,0.0569,0.0461,0.004,0.0028,0.0096,0.0093,0.0955,-0.1241,0.033,0.1935,0.1613,0.6452,0.7325,0.0124,0.5537,0.7491,-0.2835
pg12444-16,0.0436,0.2299,0.1098,0.0603,0.018,0.0239,0.0204,0.0571,0.0471,0.0056,0.0024,0.0086,0.0091,0.0941,-0.132,0.0329,0.5484,0.0323,0.4194,0.7501,0.0124,0.5537,0.7491,-0.2835
pg12444-17,0.0389,0.3518,0.0974,0.0574,0.0165,0.0261,0.0219,0.0568,0.0471,0.0042,0.0038,0.0087,0.0089,0.0954,-0.1222,0.0307,0.3226,0.2258,0.4516,0.7233,0.0124,0.5537,0.7491,-0.2835
pg12444-18,0.0527,0.1844,0.132,0.069,0.0204,0.0189,0.0205,0.0625,0.0477,0.0042,0.005,0.0147,0.0147,0.107,-0.1676,0.0335,0.2903,0.129,0.5806,0.7801,0.0124,0.5537,0.7491,-0.2835
pg12444-2,0.0436,0.239,0.0622,0.0627,0.0193,0.0249,0.0189,0.0564,0.0502,0.0036,0.0042,0.01,0.0103,0.0931,-0.1528,0.0323,0.2667,0.2333,0.5,0.7303,0.0124,0.5537,0.7491,-0.2835
pg12444-3,0.0424,0.2642,0.0977,0.0645,0.0184,0.0241,0.0217,0.0603,0.0487,0.0038,0.0034,0.0079,0.0091,0.0971,-0.1507,0.0363,0.4194,0.1935,0.3871,0.7639,0.0124,0.5537,0.7491,-0.2835
pg12444-4,0.0407,0.309,0.0482,0.066,0.0191,0.0234,0.0209,0.0605,0.0424,0.0056,0.004,0.0071,0.0082,0.0981,-0.0818,0.03,0.3871,0.1613,0.4516,0.709,0.0124,0.5537,0.7491,-0.2835
pg12444-5,0.0391,0.2693,0.0725,0.0664,0.0205,0.0231,0.0215,0.0555,0.0491,0.0043,0.0036,0.0109,0.0092,0.0958,-0.1326,0.0342,0.3226,0.1935,0.4839,0.738,0.0124,0.5537,0.7491,-0.2835
pg12444-6,0.0454,0.3483,0.0674,0.0599,0.0202,0.0249,0.023,0.0551,0.0458,0.0043,0.0046,0.0115,0.0109,0.0985,-0.135,0.0311,0.3226,0.129,0.5484,0.7184,0.0124,0.5537,0.7491,-0.2835
pg12444-7,0.0447,0.3024,0.052,0.0614,0.0193,0.0239,0.0241,0.056,0.0485,0.0041,0.0027,0.0074,0.008,0.0943,-0.126,0.0265,0.3448,0.1724,0.4828,0.7277,0.0124,0.5537,0.7491,-0.2835
pg12444-8,0.0404,0.262,0.1214,0.065,0.0182,0.0219,0.0249,0.0562,0.047,0.0038,0.0036,0.0096,0.0083,0.0981,-0.1284,0.0313,0.5484,0.0968,0.3548,0.7649,0.0124,0.5537,0.7491,-0.2835
pg12444-9,0.0413,0.2865,0.0685,0.0692,0.0198,0.0205,0.0247,0.0569,0.0503,0.0033,0.0031,0.0102,0.0097,0.0982,-0.1436,0.034,0.129,0.2258,0.6452,0.755,0.0124,0.5537,0.7491,-0.2835
pg2675-1,0.0122,0.2704,0.0684,0.0448,0.0225,0.0281,0.0376,0.0719,0.0338,0.0022,0.0105,0.0084,0.0068,0.1306,-0.0081,0.0127,0.4,0.2,0.4,0.6357,0.0134,0.5822,0.7701,0.6338
pg2675-10,0.0139,0.3808,0.0288,0.0446,0.0284,0.0267,0.034,0.0747,0.0297,0.0041,0.0089,0.0099,0.0141,0.1316,-0.0102,0.0163,0.4211,0.0526,0.5263,0.6654,0.0134,0.5822,0.7701,0.6338
pg2675-11,0.0127,0.4327,0.0654,0.0495,0.027,0.0271,0.0388,0.0768,0.0283,0.0034,0.0097,0.0054,0.0068,0.1341,0.0015,0.0129,0.2632,0.1053,0.6316,0.6448,0.0134,0.5822,0.7701,0.6338
pg2675-12,0.0105,0.451,0.1425,0.0435,0.033,0.0279,0.0375,0.0706,0.0316,0.0033,0.0097,0.0046,0.0048,0.1257,0.002,0.0091,0.3333,0.1905,0.4762,0.6082,0.0134,0.5822,0.7701,0.6338
pg2675-13,0.0076,0.478,0.1036,0.0437,0.0335,0.026,0.0419,0.0782,0.0186,0.0044,0.0088,0.0049,0.0054,0.1382,0.0363,0.007,0.1429,0.1429,0.7143,0.5517,0.0134,0.5822,0.7701,0.6338
pg2675-14,0.0102,0.498,0.0671,0.0466,0.0279,0.0258,0.0401,0.0801,0.0223,0.0035,0.0076,0.0068,0.006,0.1381,0.0217,0.01,0.05,0.4,0.55,0.5546,0.0134,0.5822,0.7701,0.6338
pg2675-15,0.0099,0.2896,0.1664,0.0424,0.0315,0.0235,0.0361,0.072,0.0296,0.0037,0.0089,0.0058,0.0065,0.1265,0.0048,0.0066,0.0476,0.2857,0.6667,0.5619,0.0134,0.5822,0.7701,0.6338
pg2675-16,0.0095,0.2801,0.0308,0.0429,0.0285,0.028,0.0361,0.0784,0.0282,0.0051,0.012,0.0072,0.0084,0.1388,0.0043,0.0105,0.0526,0.2632,0.6842,0.5852,0.0134,0.5822,0.7701,0.6338
pg2675-17,0.0118,0.1399,0.0896,0.0663,0.0252,0.0264,0.0459,0.0945,0.0242,0.0058,0.0143,0.0062,0.0107,0.1667,0.0075,0.0191,0.2632,0.0526,0.6842,0.6977,0.0134,0.5822,0.7701,0.6338
pg2675-18,0.012,0.1952,0.08,0.0661,0.0286,0.0282,0.0408,0.0927,0.0242,0.0046,0.0143,0.0079,0.0093,0.1603,0.0081,0.0163,0.1579,0.2105,0.6316,0.6602,0.0134,0.5822,0.7701,0.6338
pg2675-2,0.0146,0.2683,0.0869,0.0498,0.0296,0.0276,0.0374,0.0782,0.0313,0.0017,0.0093,0.005,0.0089,0.1316,-0.0049,0.0166,0.2,0.1,0.7,0.6239,0.0134,0.5822,0.7701,0.6338
pg2675-3,0.0135,0.435,0.136,0.0392,0.0277,0.0284,0.0375,0.0741,0.0278,0.0013,0.0082,0.0068,0.0064,0.1279,0.006,0.0136,0.1,0.2,0.7,0.5859,0.0134,0.5822,0.7701,0.6338
pg2675-4,0.0112,0.1909,0.0751,0.0595,0.0311,0.0286,0.0414,0.0695,0.0317,0.0024,0.008,0.0099,0.0033,0.1312,0.0071,0.0127,0.2381,0.1429,0.619,0.63,0.0134,0.5822,0.7701,0.6338
pg2675-5,0.0127,0.0888,0.1076,0.0711,0.0348,0.0268,0.0351,0.0623,0.0336,0.0025,0.0071,0.0113,0.0053,0.1183,-0.0008,0.0084,0.1579,0.2105,0.6316,0.6746,0.0134,0.5822,0.7701,0.6338
pg2675-6,0.0129,0.232,0.0855,0.06,0.0301,0.0293,0.0336,0.0679,0.0325,0.0036,0.0079,0.0115,0.0062,0.1245,-0.0016,0.0089,0.1579,0.2632,0.5789,0.6312,0.0134,0.5822,0.7701,0.6338
pg2675-7,0.0096,0.2169,0.0753,0.058,0.031,0.0287,0.0368,0.0766,0.0242,0.0036,0.0084,0.0116,0.0078,0.137,0.0143,0.007,0.3158,0.2105,0.4737,0.5729,0.0134,0.5822,0.7701,0.6338
pg2675-8,0.0121,0.154,0.0407,0.0606,0.0303,0.0267,0.0364,0.0853,0.0238,0.0035,0.0069,0.0099,0.0094,0.142,0.009,0.0108,0.3,0.05,0.65,0.6021,0.0134,0.5822,0.7701,0.6338
pg2675-9,0.0141,0.1456,0.0482,0.0718,0.0319,0.0213,0.0349,0.0801,0.0255,0.0043,0.0094,0.0158,0.0158,0.1445,-0.0074,0.0147,0.45,0.2,0.35,0.6939,0.0134,0.5822,0.7701,0.6338
pg37597-1,0.0252,0.1199,0.0624,0.0879,0.0147,0.0221,0.0227,0.0639,0.0566,0.0001,0.0026,0.0211,0.0207,0.1104,-0.0361,0.0063,0.339,0.2203,0.4407,0.8333,0.0143,0.633,0.0353,0.1261
pg37597-2,0.0263,0.1166,0.0714,0.0835,0.0117,0.0221,0.0214,0.0571,0.0496,0,0.0029,0.0191,0.0227,0.1005,-0.0341,0.0027,0.5439,0.193,0.2632,0.8283,0.0143,0.633,0.0353,0.1261
pg37597-3,0.0239,0.1357,0.0954,0.0847,0.017,0.0222,0.0197,0.0553,0.0493,0.0005,0.0038,0.0204,0.0245,0.0997,-0.0342,0.0026,0.4068,0.3051,0.2881,0.8136,0.0143,0.633,0.0353,0.1261
pg37597-4,0.0222,0.1264,0.0723,0.0908,0.0137,0.023,0.0275,0.0703,0.0452,0.0001,0.0032,0.0271,0.0282,0.1282,-0.0337,0.0052,0.4915,0.1525,0.3559,0.8461,0.0143,0.633,0.0353,0.1261
pg8813-1,0.0059,0.1018,0.0287,0.0257,0.0126,0.0323,0.0515,0.0954,0.0241,0.0007,0.003,0.0153,0.0006,0.1659,0.3784,0.0064,0.125,0.125,0.75,0.448,0.0149,0.2826,0.5055,0.8614
pg8813-10,0.0059,0.2534,0.0096,0.0358,0.0163,0.0277,0.0565,0.0948,0.0291,0.0009,0.0027,0.0161,0.0003,0.171,0.2311,0.0026,0,0.1765,0.8235,0.4937,0.0149,0.2826,0.5055,0.8614
pg8813-11,0.0059,0.0658,0.0193,0.0335,0.0182,0.0307,0.0553,0.1138,0.0267,0.0004,0.0032,0.0102,0.0009,0.1829,0.25,0.0046,0.25,0.25,0.5,0.4688,0.0149,0.2826,0.5055,0.8614
pg8813-12,0.005,0.0396,0.0233,0.0294,0.0135,0.0248,0.0605,0.1308,0.023,0.0001,0.0037,0.0097,0.0012,0.2048,0.3638,0.0002,0.2353,0.2941,0.4706,0.3873,0.0149,0.2826,0.5055,0.8614
pg8813-13,0.0047,0.0323,0.1089,0.0339,0.0157,0.0198,0.0631,0.1413,0.0235,0,0.0035,0.0102,0.0015,0.2181,0.2787,0.0003,0.0714,0.1429,0.7857,0.4075,0.0149,0.2826,0.5055,0.8614
pg8813-14,0.0047,0.0541,0.0243,0.0241,0.0129,0.0229,0.063,0.1373,0.0192,0.0006,0.0036,0.0131,0.0011,0.2176,0.5345,0.0008,0.2,0.4,0.4,0.3179,0.0149,0.2826,0.5055,0.8614
pg8813-15,0.0042,0.222,0.0081,0.0343,0.0148,0.0189,0.0844,0.0803,0.0276,0.0004,0.001,0.0163,0.0009,0.1824,0.1957,0.0007,0.1875,0.25,0.5625,0.5135,0.0149,0.2826,0.5055,0.8614
pg8813-16,0.0056,0.0615,0.0046,0.0284,0.0155,0.0252,0.0624,0.1123,0.0203,0.0006,0.0035,0.0121,0.0006,0.1909,0.477,0.0032,0.1875,0.25,0.5625,0.3723,0.0149,0.2826,0.5055,0.8614
pg8813-17,0.0056,0.1382,0.007,0.0272,0.0155,0.0293,0.0564,0.0996,0.0201,0.0005,0.0016,0.0224,0.0021,0.1805,0.4052,0.0016,0.25,0.1875,0.5625,0.4207,0.0149,0.2826,0.5055,0.8614
pg8813-18,0.006,0.0794,0.0043,0.0318,0.0148,0.0247,0.0633,0.1192,0.0211,0.0006,0.0022,0.0174,0.0005,0.2027,0.4377,0.002,0.1429,0.4286,0.4286,0.3721,0.0149,0.2826,0.5055,0.8614
pg8813-19,0.0093,0.5029,0.0233,0.0453,0.0233,0.0251,0.042,0.0802,0.0313,0.0004,0.0059,0.0087,0.0043,0.1372,0.081,0.0058,0.0714,0.2143,0.7143,0.6035,0.0149,0.2826,0.5055,0.8614
pg8813-2,0.0048,0.3174,0.0301,0.0434,0.013,0.032,0.0443,0.097,0.0344,0,0.0062,0.0224,0.0006,0.1699,0.0863,0.0006,0,0.3125,0.6875,0.6382,0.0149,0.2826,0.5055,0.8614
pg8813-20,0.0086,0.425,0.1393,0.0509,0.0324,0.0276,0.0443,0.0659,0.0343,0.0003,0.007,0.0095,0.0035,0.127,0.0544,0.0046,0.125,0.125,0.75,0.682,0.0149,0.2826,0.5055,0.8614
pg8813-21,0.0089,0.4106,0.085,0.039,0.0292,0.0276,0.0466,0.0738,0.0286,0.0005,0.0039,0.013,0.0048,0.1378,0.1026,0.0066,0.1875,0.375,0.4375,0.6135,0.0149,0.2826,0.5055,0.8614
pg8813-22,0.0068,0.2602,0.0039,0.0316,0.0199,0.0295,0.0599,0.0926,0.0235,0.0011,0.0021,0.0155,0.001,0.1712,0.3461,0.0092,0,0.3125,0.6875,0.4375,0.0149,0.2826,0.5055,0.8614
