bookId,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
pg11759,0.010044039463397212,0.017595722655507018,0.01183235022453132,0.09341225611488747,0.02733959599982612,0.10320214239250916,0.2674764198369042,0.009797962797662674,0.01766685599463467,0.002033327916392472,0.07111701990520834,0.1010800740841632,0.03708236286754379,0.04174283277252031,0.021493493422534225,0.0590254685392488,0.09459243139142362,0.1603203019907291,0.08011211184762758,0.027323846323453315,0.13947412031103665,0.0526049769424345,0.3305214186619796,0.023420439705817128,0.05287851343608671,0.003987580390151164,0.0242733538985246,0.050365654556763235,0.027832650761076376,0.12787452381020084,0.02160527449518768,0.24507349962721875,0.6744908050830879,0.06890275910708074,0.1941805642458309,0.04476003938838359,0.12873821505724206,0.10355750956697876,0.08416540718286736,0.01573105337306976,0.2026265778523403,0.04551455042317168,0.05669732855663372,0.12940767499550346,0.04303656124234642,0.09459243139142362,0.054333748782174944,0.009854608178677187,0.0281233104975122,0.12553632153131886,0.009871669697990422
pg42534,0.03765433764611752,0.16491255445889186,0.11516169353841585,0.07576343250565559,0.035197135834543404,0.2218059484042131,0.2057879776436652,0.2966800442348566,0.18397693123578798,0.10994410424116674,0.07690738898280249,0.04624655708295559,0.007035371924112505,0.12311330926099,0.0929740003981852,0.06808676253893811,0.029226907288240893,0.17406990866856434,0.06902615181077386,0.08583153747417255,0.3393678262349602,0.19103161063962174,0.08954786295896842,0.07738909116523754,0.07200935284824762,0.08193275723465365,0.10062384098683197,0.043293837914748015,0.015766034705518957,0.007812774342851433,0.0382326257792306,0.2412133960342984,0.4896372367815987,0.04825593603486677,0.08803738174202289,0.07576343250565559,0.05625055317807357,0.18664865506113648,0.2300149351596465,0.06946517852048625,0.05337647944342373,0.02282683304874084,0.046513797411482316,0.08905532788907583,0.05359221867966516,0.0668043595159792,0.05875761889424405,0.1136743821914286,0.0637227252472758,0.0589000908447233,0.017080678406041983
pg33468,0.04305433245533046,0.04571214634237344,0.04546870995955549,0.07773243168645066,0.075464993118664,0.11951135378238499,0.1050098978782983,0.05090849839278524,0.025498302515129283,0.02245023331281432,0.025660526242872274,0.10731134735078494,0.09506914231688077,0.06223219644506516,0.057107263714676976,0.06900434889083552,0.065823978188108,0.10600629427782783,0.08185374465770368,0.08999878805998046,0.1534919060739685,0.14931711554663005,0.1681781540408924,0.0709849595966043,0.0661429150087254,0.029783230732064764,0.01839251384051597,0.07674595303698425,0.04519174310128079,0.10768568302856177,0.046561233997536096,0.3494816751132329,0.14475916737605926,0.05881538095147663,0.08776115118409462,0.1207064589602608,0.03673889245942038,0.07372548254090842,0.7347803367225928,0.0434221425421062,0.14045932055657573,0.08932473571274528,0.06158441937791977,0.07577005086122975,0.05907889294809208,0.10657215516169867,0.06490578131482336,0.030721690721997444,0.01108975229910027,0.06212045109970035,0.06796119315978945
pg2763,0.03986742650670265,0.05690832676640215,0.2935356304460125,0.20341278806831145,0.06588594427324362,0.1069176678922722,0.0,0.2450113072535013,0.25582414262054504,0.030938111537411668,0.006534307898570171,0.027004742729310832,0.2233667077268328,0.15439132350356566,0.1189215859959673,0.05076230532652557,0.002554164390677834,0.10478106872885468,0.12279946380018365,0.10974664830509126,0.19735148417387408,0.09924584576570004,0.002785405911300986,0.08392390752742274,0.11401360737711624,0.21367465527828827,0.2823511354767198,0.030756075455668688,0.2972305979521539,0.0028676130954558192,0.0207895757776444,0.00563919412363881,0.0,0.13414186335354242,0.05562139237132109,0.09526928048769016,0.0193558990508845,0.002634916100294049,0.3573821003199829,0.15349999525445465,0.05928972604184676,0.2356424165700729,0.11122991140705876,0.010376828222073876,0.06341171561552278,0.06896243854830153,0.06418598125205965,0.1525505438439637,0.14883839229168988,0.01713684004938468,0.011754973712039644
pg19829,0.07793908940791988,0.22124237823244336,0.2486680838258125,0.1069663608513026,0.2588711118753526,0.11332377256893104,0.025815252060179084,0.0380147997867491,0.05712088721626715,0.09861304237257718,0.10219430791499244,0.2011165736938534,0.09465438385002167,0.0920208353946184,0.10739867425279392,0.15267400752422222,0.17476482052568368,0.04996157172134068,0.07581082888432512,0.14513672190336654,0.2254754750447477,0.16378423393552213,0.02042005398082359,0.1577573064167028,0.12031083737780494,0.10958826535444532,0.02616038965505501,0.1190009451625057,0.057850180626463785,0.007007574008961849,0.03175212407219953,0.0068902374303776714,0.015091898017779066,0.1209366251014551,0.012944929676255395,0.28943838818587764,0.13874645767836924,0.18029013365342428,0.31642504674604205,0.11443951221572468,0.037796361677428184,0.0191946126017037,0.04424847564648867,0.03169726411998239,0.03794912855688557,0.3120800366530065,0.12548080901831704,0.2612696052170533,0.09742386175989984,0.006442649791542245,0.063834621352707
pg35828,0.11743613412154133,0.1548515423337451,0.13884114282196566,0.17248928752632406,0.07242632685951579,0.17258869610393707,0.1819403798451341,0.16752710430872314,0.12462883203967785,0.20834132380742326,0.10431114835982126,0.08064668774694078,0.07974574996455115,0.13597043288463864,0.06018535067887312,0.1768620349156816,0.12984477494500335,0.33390545592153176,0.12405551874624868,0.08465318073160047,0.13151196946707214,0.12002439838311164,0.07013845854251935,0.06256974227987859,0.08987082428780675,0.07770546024249209,0.07629220794145182,0.11446412157319245,0.0649845730258947,0.1362424389203812,0.0963035058579172,0.001339611613169714,0.014670961671259612,0.09652583404973293,0.08934551671007368,0.06850638369839819,0.07602135899426661,0.13645364575215144,0.3814233346719819,0.08034550149732522,0.13104704721421373,0.17539690495918808,0.19909484014338652,0.2243199392206888,0.14018454123315588,0.13833929293205965,0.12564038410146952,0.09539826445228901,0.06945147716865348,0.13402722282463825,0.03847358860219139
pg12733,0.1006021127099921,0.12962918741479004,0.0834605730522883,0.0940293733932982,0.1060632983494752,0.3165877596823923,0.1492440118800465,0.08500632557472268,0.07407657397727686,0.053783497113330136,0.06270380696171866,0.09871997821398493,0.028909690326188817,0.05018811118425635,0.07029021088095247,0.05065489265873037,0.2165049247128376,0.2336602842899909,0.05375133773249306,0.1913546169209641,0.5397200806781867,0.16491291295867275,0.04974564992610921,0.08741739693871382,0.055256810226733434,0.07664543699502438,0.08489377657848908,0.09086426674708713,0.06941320220242388,0.01223016598744768,0.05056736389317699,0.02329917572150238,0.0098773350941613,0.05137840752100944,0.03812484924987231,0.07069361649277163,0.059161932270199925,0.08849712253727816,0.25955737242163684,0.07212428281845851,0.09482492495123684,0.003489576924841277,0.0461976359403773,0.1306947835950084,0.2290515928497497,0.22671742116155635,0.15193049904230144,0.12442359311901036,0.11406295877682204,0.05622108039728719,0.03760059539695594
pg16968,0.14875437616953388,0.09797957506113487,0.16225892745235912,0.14702126261028664,0.08764183412775065,0.1369105286244468,0.22395879007122768,0.12752084584756948,0.10424884659588088,0.031939114282703504,0.11821080808846154,0.11341042055985255,0.04087596137263655,0.08373507221155924,0.06284618645692197,0.02796198122180305,0.09096975151133004,0.2152746285898444,0.05407695113735148,0.08029206698196466,0.26660918532689537,0.14427610703474766,0.12125141939765235,0.07445264392873087,0.08642982531128653,0.18194303584100247,0.09532026511062787,0.09997844449758576,0.06394272501210058,0.004863505629069704,0.06317303021359899,0.015940232899151873,0.04015153722685719,0.03386823425063228,0.13326625129324146,0.1339203580212512,0.11088512501608096,0.08341851057801004,0.5695225505900743,0.06030423668001875,0.17342279532459565,0.12285608280246,0.07165670414918819,0.08066310561693232,0.11120507935032198,0.1068533589180702,0.09289402127398493,0.16216539806811645,0.06461048661909047,0.11774760735028687,0.10928196144734394
pg28509,0.05136327264937878,0.1096544090401514,0.10572695136570624,0.19743326285604185,0.14818507755052324,0.23609281236467666,0.22226294225470627,0.12283778070992812,0.12790762598600838,0.07379257871454617,0.06028723422588119,0.20682570132814715,0.10785522484766297,0.10485439224750788,0.06446543275783999,0.11846597578570214,0.2372461450838729,0.18321492859902136,0.11764941478305795,0.07726941481623614,0.2444585057096883,0.2474778752600473,0.2656708920563158,0.11912368117503072,0.07269098845711919,0.05262377771723035,0.02669445827271046,0.1054526887375126,0.03279511193925918,0.15731396503332856,0.05022054073169285,0.04394314218928865,0.05005000511889215,0.0649502978997789,0.19813803787467574,0.26163920199621804,0.11101079836620882,0.08048721892326458,0.14529821203663612,0.06649733824623291,0.12855993520002454,0.07018486425556268,0.12578005742840895,0.10673641747584936,0.09358267665048893,0.2181390729965811,0.15205049271562793,0.09103533012053323,0.08118710838127616,0.08382076359508385,0.09770672332425503
pg41483,0.21113319579786133,0.09218073647534372,0.17821404613192296,0.12807718225319822,0.11509319466383724,0.2295241707972501,0.23528610854741197,0.06929511505975305,0.07327143444837872,0.027962100779189338,0.18046306744309398,0.1852116410765248,0.06901613536403364,0.0782785667447895,0.06141841995788785,0.06570999636082285,0.1573884066232007,0.28839541760899795,0.06333774558157185,0.030673837939570507,0.21311474306533468,0.1263110494932998,0.11166782395792904,0.122695351758282,0.07310269829818809,0.1116319855077781,0.03179090286457148,0.13319671441583414,0.0800653725675006,0.0936739927539152,0.059808530890460135,0.07954565209605438,0.0,0.14309834994049173,0.04522683515572912,0.10704958516685224,0.1379527562407238,0.13497759396712028,0.29801025499575323,0.10237125437679608,0.1377938721745089,0.0058314695689741895,0.09602160049514973,0.19452338145152087,0.10184157073873462,0.3166730591093315,0.16011250889771247,0.11422356384185782,0.04143735618462699,0.16441539230474247,0.0504229553850895
